Artist_Name,Artwork_Name,Artwork_Year,Process,Dimensions,Provenance,Assension_Number,image
Walter Niedermayr,Schnalstalgletscher V,1999,"Color photograph, edition 5/6",42 1/2 x 159 in. (108 x 403.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund",2002.13A-C,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.13A-C&dim=300px
Chris Ofili,Afro Muses: Harem 4,1995,Watercolor and graphite on paper,Each: 9 1/2 x 6 1/4 in. (24.1 x 15.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Rosette V. Delug",2005.48A-I,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.48A-I&dim=300px
Paul Noble,"Sea VI , 0",0,Pencil and silverpoint on paper (2 sheets),"Each (Top Sheet): 59 x 78 3/4 in. (149.9 x 200 cm)
Each (Bottom sheet): 51 3/4 x 78 3/4 in. (131.4 x 200 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Beth Swofford and The Drawings Committee",2008.3,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.3&dim=300px
Wangechi Mutu,Pretty Ugly Dreamlike Glare,2003,"Ink, collage, and sequins on mylar",50 x 43 in. (127 x 109.2 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Manfred and Jennifer Simchowitz",2003.99,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.99&dim=300px
Paul McCarthy,"Tokyo Santa, Santa&#039;s Trees",1999,"Twenty two Christmas trees, table, 15 c-prints, 10 works on paper, cardboard boxes, Santa suit, carpet, stuffed monkey, chocolate, ketchup, paint, and Nobuyoshi Araki photograph","Overall dimensions variable
Photographs: 70 x 48 in. (177.8 x 121.9 cm)","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Eugenio Lopez",2001.1,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.1&dim=300px
Michael McClard,Earth,1981,"Acrylic, paper, plaster, steel and mesh",29 1/4 x 22 5/8 x 3 1/4 in. (74.3 x 57.5 x 8.3 cm),"The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",85.70,http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.70&dim=300px
Mark Manders,Isolated Landscape,2003,"Ceramic, iron, wood, and four clamping screws",70 1/2 x 47 1/4 x 71 5/8 in. (179 x 120 x 182 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Rosette Delug",2003.93,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.93&dim=300px
Dave Muller,Smith,1998,Acrylic and ink on paper,12 x 9 in. (30.5 x 22.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee, 2002",2002.17,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.17&dim=300px
Paul McCarthy,Masks (Olive Oyl),1994,"Cibachrome print, edition 2/3",72 x 48 in. (182.9 x 121.9 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne",2004.172,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.172&dim=300px
Helmut Newton,Patricia Faure,1965,Silver gelatin print,24 x 20 in. (61 x 50.8 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne",2004.185,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.185&dim=300px
Yoshitomo Nara,Love is the Power,1999,Oil stick on paper,Paper: 16 5/8 x 13 in. (42.2 x 33 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Ruth and Jacob Bloom",99.101.1,http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.101.1&dim=300px
Chris Ofili,"Monkey Magic - Sex, Money and Drugs",1999,"Acrylic, collage, glitter, resin, pencil, map pins, and elephant dung on canvas",96 x 72 in. (243.8 x 182.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Broad Art Foundation",99.38A-C,http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.38A-C&dim=300px
Raphael Montanez Ortiz,Henny-Penny Piano Destruction Concert,1966,Destroyed piano,Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Gift of the artist",98.14,http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.14&dim=300px
Ed Paschke,Execo,1983,"Color lithograph, edition 18/40",34 1/4 x 23 7/8 in. (87 x 60.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of First Interstate Bank of California Foundation",84.1,http://www.moca.org/museum/pc_media_viewer.php?acsnum=84.1&dim=300px
Damisn Ortega,Cosmic Thing,2002,Disassembled 1989 Volkswagen Beetle and C-print,"265 x 276 x 296 in. (673.1 x 701 x 751.8 cm)
C-print: 16 x 20 in. (40.6 x 50.8 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Eugenio Loacute;pez and the Jumex Fund for Contemporary Latin American Art",2003.21A-B,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.21A-B&dim=300px
Matt Mullican,2 City Plans,1988,Pencil on paper,40 3/4 x 52 3/4 in. (103.5 x 134 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne",2004.180,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.180&dim=300px
Carl Andre,Letter to Yvonne Rainer,1967,Ink on graph paper,10 7/8 x 8 3/8 in. (27.6 x 21.3 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors",2003.75,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.75&dim=300px
Josef Albers,White Line Square VII,1966,Lithograph on paper,Frame: 21 1/2 x 21 1/2 x 1 1/2 in. (54.6 x 54.6 x 3.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Martha Bertonneau Padve",2008.81,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.81&dim=300px
Carl Andre,100 Aluminum Solid,1964,Aluminum blocks,"Each: 1 x 2 x 2 in. (2.5 x 5.1 x 5.1 cm)
4 x 10 x 10 in. (10.2 x 25.4 x 25.4 cm)","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation",97.7,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.7&dim=300px
Elizabeth Murray,Heart and Mind,1981,Oil on canvas,111 3/4 x 114 in. (283.8 x 289.6 cm),"The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",85.74,http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.74&dim=300px
Diana Michener,Sympus,1987,"Silver print, edition 6/7",17 x 13 3/8 in. (43.2 x 34 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Bruce and Nancy Berman",2003.97,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.97&dim=300px
Paul McCarthy,Masks (Arafat),1994,"Cibachrome print, edition 2/3",72 x 48 in. (182.9 x 121.9 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne",2004.169,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.169&dim=300px
Jules Olitski,Tender Boogus,1967,Acrylic on canvas,132 3/4 x 258 in. (337.2 x 655.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Robert A. Rowan",80.3,http://www.moca.org/museum/pc_media_viewer.php?acsnum=80.3&dim=300px
Jennifer Pastor,Untitled (Drawing for Fall),1994,Ink on paper,27 x 22 in. (68.6 x 55.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee and Gail and Tony Ganz",2004.57,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.57&dim=300px
Philippe Perrot,Migraine,2004,Oil and betadine on canvas,38 3/16 x 77 15/16 in. (97 x 198 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors",2004.39,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.39&dim=300px
Eileen Quinlan,Smoke &amp; Mirrors #205,2007,Silver gelatin matte fiber finish print,Image: 40 x 30 in. (101.6 x 76.2 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund",2008.70,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.70&dim=300px
Kim Abeles,In Search of A Chair,1981,"Fabric, wood chairs, wood poles, paint, flags",59 x 62 x 18 in.,"The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom",97.134,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.134&dim=300px
Lari Pittman,Untitled #12,2003,"Matte oil, aerosol lacquer, and cel-vinyl on gessoed canvas over wood panel",102 x 76 in. (259.1 x 193 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Rosette V. Delug",2005.1,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.1&dim=300px
Jules Olitski,6th Move,1969,Acrylic on canvas,76 x 5 1/4 in. (193 x 13.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of William A. Palmer",82.39,http://www.moca.org/museum/pc_media_viewer.php?acsnum=82.39&dim=300px
Jennifer Pastor,Moth (Study for Spring),1996,Ink and pencil on paper,"18 x 12 1/4 in. (45.7 x 31.1 cm)
Paper: 16 x 11 in. (40.6 x 27.9 cm)","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs",2004.262,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.262&dim=300px
Louise Nevelson,Sky Cathedral/Southern Mountain,1959,Wood painted black,114 x 124 x 16 in. (289.6 x 315 x 40.6 cm),"The Museum of Contemporary, Los Angeles
Gift of the artist",85.14,http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.14&dim=300px
Rika Noguchi,A Prime #13,1997,C-print,49 3/4 x 38 in. (126.4 x 96.5 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund",2002.37,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.37&dim=300px
Wangechi Mutu,She&#039;s Egungun Again,2005,"Ink, acrylic, and collage on mylar",87 x 52 1/2 in. (221 x 133.4 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Dallas Price-Van Breda",2005.23,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.23&dim=300px
Paul McCarthy,Stoned Blue Drawings,1968,Graphite and ink on paper,"Each: 8 1/2 x 11 in. (21.6 x 27.9 cm)
Frame: 46 1/2 x 82 1/2 x 1 1/2 in. (118.1 x 209.6 x 3.8 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee",2004.72A-Z,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.72A-Z&dim=300px
Malcolm Morley,"The Sky Above, The Mud Below",1988,Oil and wax on canvas,130 x 78 in. (330.2 x 198.1 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Contemporary Art Associates and Audrey and Sydney Irmas",94.107,http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.107&dim=300px
Elizabeth Murray,Untitled Twist Drawing #2,1988,Pastel on paper,30 3/4 x 25 x 2 3/4 in. (78.1 x 63.5 x 7 cm),"The Museum of Contemporary Art, Los Angeles
Gift from the Collection of Regina and William Fadiman",2001.99,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.99&dim=300px
Carl Andre,Yucatan,1973,"Xerox poem pages, edition 15/75",8 1/2 x 11 in. (21.6 x 27.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation",85.2.2,http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.2.2&dim=300px
Josef Albers,"Variant: Violet, Red Against Blue",1947,Oil on paper on board,17 1/4 x 23 1/8 in. (43.8 x 58.7 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift from the Collection of Laura-Lee and Robert Woods",91.67,http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.67&dim=300px
Cindy Sherman,Untitled #118,1983,Color coupler print,40 x 30 in. (101.6 x 76.2 cm),"The Museum of Contemporary Art, Los Angeles
Gift of William J. and Maria Bell",2008.130,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.130&dim=300px
Richard Diebenkorn,Ocean Park 131,1985,Oil on canvas,65 1/4 x 92 in. (165.7 x 233.7 cm),"Collection of Lenore S. and Bernard A. Greenberg
Partial gift to The Museum of Contemporary Art, Los Angeles",91.84,http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.84&dim=300px
Michael Asher,no title,1966,Heat-formed Plexiglas,13 3/4 x 14 1/2 x 1 1/2 in. (34.9 x 36.8 x 3.8 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee",2004.81,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.81&dim=300px
Josef Albers,Study for Homage to a Square,1954,Oil on masonite,"15 5/8 x 15 5/8 in. (39.7 x 39.7 cm)
Frame: 16 1/4 x 16 1/4 in. (41.3 x 41.3 cm)","The Museum of Contemporary, Los Angeles
Gift of The American Art Foundation",85.1,http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.1&dim=300px
Carl Andre,"Untitled , 0",0,Paper (rubber stamp) on paper,Image: 8 1/4 x 8 1/4 in. (21 x 21 cm),"Museum of Contemporary Art, THE DOROTHY AND HERBERT VOGEL COLLECTION: FIFTY WORKS FOR FIFTY STATES, a joint initiative of the Trustees of the Dorothy and Herbert Vogel Collection and the National Gallery of Art, with generous support of the National Endowment for the Arts and the Institute for Museum and Library Services.",2008.32,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.32&dim=300px
Malcolm Morley,A Tropical Swimming Hole (Florida),1978,Oil on canvas,32 x 44 in. (81.3 x 111.8 cm),"The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",85.72,http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.72&dim=300px
Allan McCollum,Perpetual Photo,1982,Silver gelatin print,62 x 45 x 3 in. (157.5 x 114.3 x 7.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the artist",2004.13,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.13&dim=300px
Kelly Nipper,shotgun and a figure 8 (detail 3),2000,"Four framed chromogenic prints, edition 3/6",50 x 65 in. (127 x 165.1 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund",2001.21.3,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.21.3&dim=300px
Claes Oldenburg,Proposal for a Civic Monument in the Form of Two Windows,1982,"Lithograph with watercolor on Arches paper, edition 15/75","28 x 40 in. (71.1 x 101.6 cm)
Other (Mounted on paper): 31 x 42 in. (78.7 x 106.7 cm)","The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation",85.2.6,http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.2.6&dim=300px
Jules Olitski,Absalom Passage,1973,Acrylic on canvas,84 x 164 in. (213.4 x 416.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of William J. Hokin",84.14,http://www.moca.org/museum/pc_media_viewer.php?acsnum=84.14&dim=300px
Richard Pettibone,Weisman Collection,1965,Oil on canvas,22 parts: dimensions variable,"The Museum of Contemporary Art, Los Angeles
Gift of The Marcia Simon Weisman Foundation",2001.18A-V,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.18A-V&dim=300px
Stephen G. Rhodes,Excerpt (Gray),2007,c-print with paint,Image: 30 x 40 in. (76.2 x 101.6 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Photography Committee",2008.13,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.13&dim=300px
Eileen Quinlan,Black and white version of &quot;Smoke &amp; Mirror #233&quot;,2007,Silver gelatin matte fiber finish print,Image: 40 x 30 in. (101.6 x 76.2 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund",2008.71,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.71&dim=300px
Rosângela Renno,Cicatriz,1996,Plaster board with carved text; Black and white photographs mounted on board,Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Purchased with funds donated by Rosa and Carlos de la Cruz.  Additional funds provided by The Morrison Acquisition Fund, Patricia Cisneros and The Acquisition and Collection Committee Fund.  Gift of Galeria Camargo Vilaca and the artist.",98.2A-H,http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.2A-H&dim=300px
Eija-Liisa Ahtila,Talo/The House,2002,Three-screen DVD installation,Dimensions variable,"Joint acquisition of The Museum of Contemporary Art, Los Angeles and The Art Institute of Chicago
Purchased by The Museum of Contemporary Art with funds provided by the Acquisition and Collection Committee and Bob Tuttle and Maria Hummer; Purchased by the Art Institute of Chicago, Contemporary Art Discretionary Fund and W.L. Mead Endowment",2004.97,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.97&dim=300px
Kim Abeles,Willing Suspension of Disbelief,1987,Mixed media,68 x 54 x 22 in. (172.7 x 137.2 x 55.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Jeanne Meyers",92.64,http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.64&dim=300px
Richard Pettibone,Perils of Paulene,1963,Mixed media,7 1/2 x 6 1/2 x 5 3/8 in. (19.1 x 16.5 x 13.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Michael Asher",2006.162,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.162&dim=300px
Lari Pittman,Optimal setting for atmospheric conditions that can induce distraction in the male,2001,"Acrylic, alkyd, aerosol enamel, and gesso on paper",42 1/2 x 34 1/2 in. (108 x 87.6 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee, 2001",2001.35,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.35&dim=300px
Hirsch Perlman,Mitchell Kane,0,"Untitled , 1986","Aluminum siding, Haworth Office desk, laminated black and white photograph, oil and wax in tin pan","132 x 360 x 96 in. (335.3 x 914.4 x 243.8 cm)
Other (Desk): 24 1/2 x 61 x 30 in. (62.2 x 154.9 x 76.2 cm)
Other (Pan): 10 x 8 in. (25.4 x 20.3 cm)","The Museum of Contemporary Art, Los Angeles
Gift of Monique and Foster Goldstrom",http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.3&dim=300px
Ruben Ochoa,"What if Walls Vanished from the Freeway, Would it Make a Sound?",2007,Lenticular print mounted on diebond (4 panels),Each: 48 x 24 in. (121.9 x 61 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Photography Committee",2008.14A-D,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.14A-D&dim=300px
Louise Nevelson,Winter Garden,1975,Wood painted black,110 x 107 1/2 x 74 in. (279.4 x 273.1 x 188 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The Pace Gallery and the artist",86.26,http://www.moca.org/museum/pc_media_viewer.php?acsnum=86.26&dim=300px
Wangechi Mutu,Howl,2006,"Ink, collage, and mixed media on mylar",35 x 24 in. (88.9 x 61 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Nancy and Stanley Singer",2006.84,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.84&dim=300px
Piet Mondrian,"Composition of Red, Blue, Yellow and White: Nom III",1939,Oil on canvas,17 5/8 x 15 in. (44.8 x 38.1 cm),"The Museum of Contemporary Art, Los Angeles
The Rita and Taft Schreiber Collection
Given in loving memory of her husband, Taft Schreiber, by Rita Schreiber",89.22,http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.22&dim=300px
Tatsuo Miyajima,Counter Spiral No. 4,1998,Mixed media,40 1/8 x 15 3/4 in. (101.9 x 40 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne",2004.178,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.178&dim=300px
Tom Allen,As Under a Drunken Star,2003,Oil on linen,49 1/2 x 52 x 1 1/2 in. (125.7 x 132.1 x 3.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Alan Power",2007.86,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2007.86&dim=300px
Cindy Sherman,Untitled #88,1981,"Cibachrome print, edition 5/10","24 x 48 in. (61 x 121.9 cm)
Frame: 31 x 55 x 2 1/2 in. (78.7 x 139.7 x 6.4 cm)","The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",85.93,http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.93&dim=300px
Malcolm Morley,Miami Postcard Fold Out (A Painting with Separate Parts which are Self-Generating),1974,"Oil on shaped canvas with fabric, shoes, clothes pins, blackboard, eraser, dominoes, wood stool and film of the creation of this work",126 x 233 1/2 x 10 in. (320 x 593.1 x 25.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation",97.77,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.77&dim=300px
Roger Minick,"Airstream at Monument Valley, Arizona",1979,Gelatin silver print,10 1/4 x 12 1/4 in. (26 x 31.1 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Sue and Al Dorskind",87.65.15,http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.65.15&dim=300px
Robert Moskowitz,Cadillac/Chopsticks,1975,Acrylic on canvas,90 x 75 in. (228.6 x 190.5 cm),"The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",85.73,http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.73&dim=300px
