Artistname,Nationality,birthYear,Titleofartwork,deathYear,Typeofartwork,Dimensions,Credit,Accessionid,ImageURL
Charles Fergus Binns,American,1857,"Bottle Vase, 1915",1934,Glazed earthenware,23.2 x 10.1 cm (9 1/8 x 4 in.),"Monogram and date on base: ""C F B / 15"" within a circle

Atlan Ceramic Club Fund",1916.436,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000104/431_886133.jpg
Henry Ward Ranger,American,1858,"Brooklyn Bridge, 1899",1916,Oil on canvas,72.4 x 91.8 cm (28 1/2 x 36 1/8 in.),"Signed lower left: ""Henry Ranger 99""

Gift of Charles L. Hutchinson",1925.720,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/169443_1299323.jpg
Attributed to John Townsend,American,1732,"Bureau Table, c. 1770",1809,Mahogany with chestnut and tulip poplar,86.6 x 93.4 x 58 cm (34 1/8 x 36 3/4 x 20 in.),Gift of Jamee J. and Marshall Field,1984.1387,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000106/9109_902140.jpg
Attributed to Duncan Phyfe,American,1768,"Box Sofa, c. 1820",1854,Rosewood and gilded wood with ormolu mounts die-stamped brass inlay inset with rosewood brass stringing and gilt-brass castors,85.7 x 208.3 x 69.2 cm (33 3/4 x 82 x 27 1/4 in.),Restricted gifts of The Antiquarian Society and Mrs. Herbert A. Vance,2002.17,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/7090_358815.jpg
Charles Demuth,American,1883,"Business, 1921",1935,Oil and graphite on canvas,51 x 61.5 cm (20 x 24 1/4 in.),"Signed and dated lower right: Demuth / 1921

Alfred Stieglitz Collection",1949.529,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000098/137297_822766.jpg
George Croome,American,1807,"Cabinet, 1875/77",1879,Mahogany rosewood maple pine and bronze,140 x 124.8 x 48.3 cm (55 1/8 x 49 1/8 x 19 in.),Elizabeth R. Vaughan Fund,1979.502,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/32091_1301758.jpg
Herter Brothers,American,1864,"Cabinet, 1878/80",1906,Rosewood with ebonized cherry maple walnut satinwood marquetry of various woods brass gilding and paint,134.6 x 180.3 x 40.6 cm (53 x 71 x 16 in.),"Impressed twice on back boards: ""HERTER BRO'S""; written in script in pencil on top boards: "" N 238 Store""

Restricted gift of the Antiquarian Society through the Capital Campaign",1986.26,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000095/5376_773247.jpg
Jessie M. Preston,American,1873,"Candelabra, 1902/05",1942,Bronze,"19 5/8 x 13 1/2 x 13 in.

base: 8 1/2 (w) x 8 (d)","in.
Marked on the bottom in script ""J Preston/ Chicago"" with a conjoined ""J"" and ""P""

Restricted gift of Celia and David C. Hilliard",2003.170,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000006/8564_360620.jpg
Tiffany and Company,American,1837,"Candelabra (one of a pair), 1873",1901,Silver,"77.4 x 43.2 cm (30 1/2 x 17 in.)
Marked under base ""TIFFANY AND CO."" (in a convex rectangle)/""3180""/ ""Quality 925.1000"" (in rectangle)/ gothic ""M"" (in oval)/""5200""/ ""UNION SQUARE"" (in convex rectangle); Marked on underside of one foot: ""No.1""; Signed on proper left side of base on each candelabrum: ""EJ"" (conjoined)","and ""S""

Gift of the Antiquarian Society through the Mr. and Mrs. William Y. Hutchinson Fund",1985.221a,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000104/19131_882925.jpg
Ivan Albright,American,1897,"Captain Joseph Medill Patterson, 1962?4",1983,Oil on board,76.2 x 61 cm (30 x 24 in.),Gift of Ivan Albright,1977.37,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000089/4544_728219.jpg
Thomas Birch,American,1779,"Capture of the Tripoli by the Enterprise, 1806/12",1851,Oil on canvas,45.1 x 65.1 cm (17 3/4 x 25 5/8 in.),Through prior acquisition of the Charles H. and Mary F. S. Worcester Collection,1991.30,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/5803_623641.jpg
Attributed to William Hook,American,1777,"Card Table, 1800/11",1867,Mahogany mahogany veneer and white pine,73.5 x 92.4 x 45.4 cm (29 x 36 5/16 x 17 7/8 in.),Gift of the Antiquarian Society through Jessie Spalding Landon Fund,1951.220,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000006/7645_360216.jpg
Isaac Vose & Son,American,1819,"Card Table, 1819/25",0,Mahogany satinwood veneer iron and brass,73.7 x 45.7 x 92.7 cm (29 x 18 x 36 1/2 in.),Restricted gift of Harry A. Root in memory of Curtis C. Palmer,2012.125,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000141/184347_1468913.jpg
Jeremiah Dummer,American,1645,"Caudle Cup, 1680/1700",1718,Silver,8.3 x 16.5 cm (3 1/4 x 6 1/2 in.),Gift of the Antiquarian Society through the Mr. and Mrs. Edwin A. Seipp Fund,1952.167,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000051/41365_348239.jpg
George Inness,American,1825,"Catskill Mountains, 1870",1894,Oil on canvas,123.8 x 184.5 cm (48 3/4 x 72 5/8 in.),"Signed lower left: ""G. Inness 1870""

Edward B. Butler Collection",1912.1623,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/387_1170914.jpg
Cornelius Vander Burch (Vanderburgh),American,1653,"Caudle Cup, c. 1683",1699,Silver,"12.7 x 15.24 x 22.86 cm (5 3/4 x 6 1/4 x 9 1/4 in.)
Marked on bottom three times: CVB (cojoined inside a heart)","; engraved on the body with the Van Cortlandt family arms

Restricted gift of the Antiquarian Society and Dr. and Mrs. C. Phillip Miller",1955.651,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000142/185652_1477552.jpg
Designed by Walter Bryent,American,1807,"Center Table, 1852",1870,Cast iron and marble,77.5 x 77.5 x 77.5 cm (30 1/2 x 30 1/2 x 30 1/2 in.),Wesley M. Dixon Jr. Fund,1985.521,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/32090_1301749.jpg
Dominick and Haff,American,1872,"Centerpiece, 1872?875",1928,"Silver and etched glass
d. of vase:","28.3 x 30 cm (11 1/8 x 11 13/16 in.)
Marked on inner rim of base: ""D. H."" (in square beside an empty diamond and circle)","; ""STERLING""/""H 88 x 15"" / ""THE COWELL & HUBBARD CO.""

Laura S. Matthews Fund",1983.215,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/5041_763326.jpg
Frederic Remington,American,1861,"Ceremony of the Fastest Horse, c. 1900",1909,Oil on canvas,101.9 x 69.2 cm (40 1/8 x 27 1/4 in.),George F. Harding Collection,1982.782,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/4985_625153.jpg
John Bradley Storrs,American,1885,"Ceres, 1928",1956,Copper-alloy plated with nickel then chrome,67.3 x 16.2 x 12.4 cm (26 ?x 6 3/8 x 4 7/8 in.),"Inscribed on back of base: STORRS/cast by/American Art Bronze Foundry/Chicago.

Gift of John N. Stern",1981.538,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/4867_1168054.jpg
John Burt,American,1692,"Chafing Dish, c. 1730",1745,Silver and wood,10.2 x 31 cm (4 x 12 1/8 in.),Gift of the Antiquarian Society through the Mr. and Mrs. Edwin A. Seipp Fund,1952.1097,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000051/41362_348234.jpg
Designed by Frank Lloyd Wright,American,1867,"Chair, 1936/39",1959,painted steel tubing maple armrests original upholstery,85.7 x 60.3 x 54.6 cm (34 3/4 x 23 3/4 x 21 1/2 in.),Gift of Johnson Wax Company,1972.311,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/9492_762516.jpg
Isamu Noguchi,American,1904,"Chess Table, Designed 1944; made c. 1949",1988,Ebonized plywood aluminum and Lucite,52.7 x 63.5 x 63.5 cm (20 3/4 x 25 x 25 in.),Through prior bequest of Arthur Rubloff; restricted gift of the Antiquarian Society; Quinn E. Delaney Fund,2010.227,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000131/173248_1337958.jpg
Attributed to John Cogswell,American,1738,"Chest of Drawers, 1760/90",1819,Mahogany with white pine,79.7 x 91.8 x 50.8 cm (31 3/8 x 36 1/8 x 20 in.),"Mark: chalk inscription on base possibly reading ""Bottom""; sticker back left upper corner with printing: ""No./Property of/Edith Cluett""

Helen Bowen Blair Fund",1979.499,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000133/4733_1378021.jpg
Attributed to John Dunlap,(American,1746,"Chest of Drawers, 1780/1810",1792,Soft maple eastern white pine faux painted wood-grain,96.8 x 99.7 x 50.2 cm (38 1/8 x 39 1/4 x 19 3/4 in.),Vance American Art Fund; restricted gifts of Carol W. Wardlaw Jamee J. and Marshall Field; Americana Fund,2007.1,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000075/67635_637775.jpg
Attributed to Robert Crosman,American,1707,"Chest-over-drawer, c. 1725",1799,White pine iron brass and painted decoration,52.8 x 57.2 x 32.6 cm (20 3/4 x 22 1/2 x 12 13/16 in.),"Roman capital initials in white on either side of original iron lock plate: ""H B""

Wirt D. Walker Fund",1946.561,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000130/171497_1320001.jpg
Edward Warren Sawyer,American,1876,"Chief Tja-Yo-Ni, 1904",1932,Silver,6.8 cm (2 3/4 in.),Gift of Charles L. Hutchinson,1911.217,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000006/398_360082.jpg
Arthur B. Davies,American,1862,"Choral Sea, 1915",1928,Oil on canvas,45.1 x 100 cm (17 x 39 3/8 in.),Mr. and Mrs. Martin A. Ryerson Collection,1933.1189,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/1821_625213.jpg
George Cope,American,1855,"Civil War Regalia of Major Levi Gheen McCauley, 1887",1929,Oil on canvas,127 x 92.7 cm (50 x 46 1/2 in.),Quinn E. Delaney and Chauncey and Marion McCormick funds; Wesley M. Dixon Endowment,2000.134,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000143/6632_1490468.jpg
Attributed to Henricus Boelen,American,1697,"Clasp, 1720/50",1755,Gold,2.1 x 3 x 3 cm (13/16 x 1 3/16 x 1/8 in.),Restricted gift of Charles C. Haffner III,1984.48,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000142/185653_1477562.jpg
Boston and Sandwich Glass Company,American,1825,"Clear Strawberry Diamond Bowl with Cross, before 1830",1888,Pressed glass,4.5 x 30.5 cm (1 3/4 x 12 in.),Through prior acquisitions of David Adler Robert Allerton Ada K. Rew in memory of her parents Mr. and Mrs. Irwin Rew The School of the Art Institute of Chicago and Elizabeth R. Vaughan,1995.41,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/6107_762630.jpg
James McNeill Whistler,American,1834,"Coast Scene, Bathers, 1884?5",1903,Oil on panel,13.8 x 22.1 cm (5 7/16 x 8 11/16 in.),"Butterfly monogram lower right

Walter S. Brewster Collection",1933.208,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000131/173261_1338088.jpg
Toshiko Takaezu,American,1922,"Cobalt Blue, 1991",2011,Glazed stoneware,47 x 20.3 cm (18 1/2 x 8 in.),Gift of Toshiko Takaezu,2006.245,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000118/55355_1181844.jpg
Winslow Homer,American,1836,"Coast of Maine, 1893",1910,Oil on canvas,61 x 76.2 cm (24 x 30 in.),"Signed lower left: ""Homer 93""

Arthur Jerome Eddy Memorial Collection",1931.505,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000131/173665_1341968.jpg
Frederic Remington,American,1861,"Coming Through the Rye (Over the Range), modeled 1902, cast in bronze 1902/06",1909,Bronze with brown patina,72.4 x 71.1 x 47 cm (28 1/2 x 28 x 18 1/2 in.),"Right side front edge of base: Frederic Remington
Right side back edge of base: Copyrighted 1902 by / Frederic Remington
Back side of base: Roman Bronze Works NY

The George F. Harding Collection",1982.810,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000095/19164_763626.jpg
Thomas Doughty,American,1793,"Coming Squall (Nahant Beach with a Summer Shower), 1835",1856,Oil on canvas mounted on cradled panel,52.1 x 71.4 cm (20 1/2 x 28 1/8 in.),Restricted gift of Mrs. Herbert A. Vance,2005.159,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000006/36510_361294.jpg
