technique,provenance,title,imageUrl,dimensions,artist,accessionId,url
Sheet music,Gift of Estate of Marjorie P. Johnson,"""Oh! What A Beautiful City""",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5CTrioImages%5CSheet%5Fmusic%5CPooleJohnson%5Fsheetmusic+copy%2Ejpg,12 H x 9 W,Arranged by Edward Boatner,2005.9,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Arranged+by+Edward+Boatner&whereclause=where+maker%3D%27Arranged+by+Edward+Boatner%27+OR+cleanmaker%3D%27Arranged+by+Edward+Boatner%27+OR+maker1%3D%27Arranged+by+Edward+Boatner%27+OR+maker2%3D%27Arranged+by+Edward+Boatner%27+OR+maker3%3D%27Arranged+by+Edward+Boatner%27+OR+maker4%3D%27Arranged+by+Edward+Boatner%27+OR+maker5%3D%27Arranged+by+Edward+Boatner%27&current_record=1
Gouche and conte on paper,Gift of Jessica and Nancy McKinney,"Minkisi Figure/Kalunga Heads, series VII",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDAS+Foto%5CCarraway%2Ebmp,"31"" H x 25"" W",Arthur Carraway,2000.13,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Arthur+Carraway&whereclause=where+maker%3D%27Arthur+Carraway%27+OR+cleanmaker%3D%27Arthur+Carraway%27+OR+maker1%3D%27Arthur+Carraway%27+OR+maker2%3D%27Arthur+Carraway%27+OR+maker3%3D%27Arthur+Carraway%27+OR+maker4%3D%27Arthur+Carraway%27+OR+maker5%3D%27Arthur+Carraway%27&current_record=1
"Bronze, steel wire, ceramic shell and resin",Museum purchase,Emerging Woman,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CArtis%5FLane%5CLane%5FEmergingWoman%2Ejpg,"32.5"" H x 15"" W x 10"" D",Artis Marie Lane,2001.10,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Artis+Marie+Lane&whereclause=where+maker%3D%27Artis+Marie+Lane%27+OR+cleanmaker%3D%27Artis+Marie+Lane%27+OR+maker1%3D%27Artis+Marie+Lane%27+OR+maker2%3D%27Artis+Marie+Lane%27+OR+maker3%3D%27Artis+Marie+Lane%27+OR+maker4%3D%27Artis+Marie+Lane%27+OR+maker5%3D%27Artis+Marie+Lane%27&current_record=1
Bronze with black patina,"Museum purchase with Arts Council funds in memory of John T. Riddle, Jr.",Woman,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CArtis%5FLane%5CLane%5FWoman%2Ejpg,"32.25"" H x 15"" W x 10""D",Artis Marie Lane,2002.4,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Artis+Marie+Lane&whereclause=where+maker%3D%27Artis+Marie+Lane%27+OR+cleanmaker%3D%27Artis+Marie+Lane%27+OR+maker1%3D%27Artis+Marie+Lane%27+OR+maker2%3D%27Artis+Marie+Lane%27+OR+maker3%3D%27Artis+Marie+Lane%27+OR+maker4%3D%27Artis+Marie+Lane%27+OR+maker5%3D%27Artis+Marie+Lane%27&current_record=2
"Bronze, ceramic shell, resin","Gift of Friends, The Foundation of the California African American Museum through the generous donations of the Annenberg Foundation and the James Irvine Foundation",Emerging First Man,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CLoans%5CIL15%5F2005%2Ejpg,"75"" H x 20""W x 12"" D",Artis Marie Lane,2008.13,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Artis+Marie+Lane&whereclause=where+maker%3D%27Artis+Marie+Lane%27+OR+cleanmaker%3D%27Artis+Marie+Lane%27+OR+maker1%3D%27Artis+Marie+Lane%27+OR+maker2%3D%27Artis+Marie+Lane%27+OR+maker3%3D%27Artis+Marie+Lane%27+OR+maker4%3D%27Artis+Marie+Lane%27+OR+maker5%3D%27Artis+Marie+Lane%27&current_record=3
Lithograph,"Gift of Friends, The Foundation of the California African American Museum",The Beginning,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CArtis%5FLane%5CLane%5FBeginning%2Ejpg,"33"" H x 35.25"" W",Artis Marie Lane,2006.2,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Artis+Marie+Lane&whereclause=where+maker%3D%27Artis+Marie+Lane%27+OR+cleanmaker%3D%27Artis+Marie+Lane%27+OR+maker1%3D%27Artis+Marie+Lane%27+OR+maker2%3D%27Artis+Marie+Lane%27+OR+maker3%3D%27Artis+Marie+Lane%27+OR+maker4%3D%27Artis+Marie+Lane%27+OR+maker5%3D%27Artis+Marie+Lane%27&current_record=4
ink on paper,Museum purchase,The Betrayal: The Strangest Love Story Ever Told [poster],http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMovies%5CMicheaux%5FBetrayal%2Ejpg,"54½"" H x 42"" W",Astor Pictures/Oscar Micheaux,2001.1.3,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Astor+Pictures%2FOscar+Micheaux&whereclause=where+maker%3D%27Astor+Pictures%2FOscar+Micheaux%27+OR+cleanmaker%3D%27Astor+Pictures%2FOscar+Micheaux%27+OR+maker1%3D%27Astor+Pictures%2FOscar+Micheaux%27+OR+maker2%3D%27Astor+Pictures%2FOscar+Micheaux%27+OR+maker3%3D%27Astor+Pictures%2FOscar+Micheaux%27+OR+maker4%3D%27Astor+Pictures%2FOscar+Micheaux%27+OR+maker5%3D%27Astor+Pictures%2FOscar+Micheaux%27&current_record=1
pastel and charcoal on paper,Gift of Vertenis Shephard,Caricature of Vertenis Shephard,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKen+Renard%5CVertenis%2Ejpg,"14"" H x 11"" W",[Bailey] of Universal City Studios,2000.7.E4,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+%5BBailey%5D+of+Universal+City+Studios&whereclause=where+maker%3D%27%5BBailey%5D+of+Universal+City+Studios%27+OR+cleanmaker%3D%27%5BBailey%5D+of+Universal+City+Studios%27+OR+maker1%3D%27%5BBailey%5D+of+Universal+City+Studios%27+OR+maker2%3D%27%5BBailey%5D+of+Universal+City+Studios%27+OR+maker3%3D%27%5BBailey%5D+of+Universal+City+Studios%27+OR+maker4%3D%27%5BBailey%5D+of+Universal+City+Studios%27+OR+maker5%3D%27%5BBailey%5D+of+Universal+City+Studios%27&current_record=1
Wood,Gift of Dr. and Mrs. Melvin Silverman,Bambara Door Lock,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSilverman%5CBamana%5FdoorLock%2Ejpg,"13"" x 15½"" x 3""",Bambara people of Mali,AF1984.132.22,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Bambara+people+of+Mali&whereclause=where+maker%3D%27Bambara+people+of+Mali%27+OR+cleanmaker%3D%27Bambara+people+of+Mali%27+OR+maker1%3D%27Bambara+people+of+Mali%27+OR+maker2%3D%27Bambara+people+of+Mali%27+OR+maker3%3D%27Bambara+people+of+Mali%27+OR+maker4%3D%27Bambara+people+of+Mali%27+OR+maker5%3D%27Bambara+people+of+Mali%27&current_record=1
oil and collage on canvas,California Afro-American Museum Foundation purchase,Cherries,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CCherries%2Ejpg,"30 x 46""",Benny Andrews,AF19884.37.4,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Benny+Andrews&whereclause=where+maker%3D%27Benny+Andrews%27+OR+cleanmaker%3D%27Benny+Andrews%27+OR+maker1%3D%27Benny+Andrews%27+OR+maker2%3D%27Benny+Andrews%27+OR+maker3%3D%27Benny+Andrews%27+OR+maker4%3D%27Benny+Andrews%27+OR+maker5%3D%27Benny+Andrews%27&current_record=1
Pen and ink drawing,Gift of Dr. and Mrs. Leon O. Banks,Burial (Georgia),http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDASFOT%7E1%5CFUNERAL%2EJPG,"20.5"" x 16""",Benny Andrews,AF199912.40.1,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Benny+Andrews&whereclause=where+maker%3D%27Benny+Andrews%27+OR+cleanmaker%3D%27Benny+Andrews%27+OR+maker1%3D%27Benny+Andrews%27+OR+maker2%3D%27Benny+Andrews%27+OR+maker3%3D%27Benny+Andrews%27+OR+maker4%3D%27Benny+Andrews%27+OR+maker5%3D%27Benny+Andrews%27&current_record=2
Acrylic on canvas,Gift of Dr. and Mrs. Bernard Kirsch,A Patch of Purple,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CCasey%5FPurple%2Ejpg,"36"" H x 24"" W",Bernie Casey,2007.20,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Bernie+Casey&whereclause=where+maker%3D%27Bernie+Casey%27+OR+cleanmaker%3D%27Bernie+Casey%27+OR+maker1%3D%27Bernie+Casey%27+OR+maker2%3D%27Bernie+Casey%27+OR+maker3%3D%27Bernie+Casey%27+OR+maker4%3D%27Bernie+Casey%27+OR+maker5%3D%27Bernie+Casey%27&current_record=1
Sheet music,Gift of Anonymous donor,"""Three Little Words"" featured in Check and Double Check with Amos N Andy",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSheet%5Fmusic%5CRuben%5FAmosAndy%2Ejpg,"12"" H x 9"" W",Bert Kalmar and Harry Ruby,2005.10.2,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Bert+Kalmar+and+Harry+Ruby&whereclause=where+maker%3D%27Bert+Kalmar+and+Harry+Ruby%27+OR+cleanmaker%3D%27Bert+Kalmar+and+Harry+Ruby%27+OR+maker1%3D%27Bert+Kalmar+and+Harry+Ruby%27+OR+maker2%3D%27Bert+Kalmar+and+Harry+Ruby%27+OR+maker3%3D%27Bert+Kalmar+and+Harry+Ruby%27+OR+maker4%3D%27Bert+Kalmar+and+Harry+Ruby%27+OR+maker5%3D%27Bert+Kalmar+and+Harry+Ruby%27&current_record=1
"Mixed media, cloth",Gift of the Wives of the Bench and Bar,Floating Figure with Seven Spades,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSpades%2Ebmp,"14½ x 14½"" x ¾""",Betye Saar,AF19883.33,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Betye+Saar&whereclause=where+maker%3D%27Betye+Saar%27+OR+cleanmaker%3D%27Betye+Saar%27+OR+maker1%3D%27Betye+Saar%27+OR+maker2%3D%27Betye+Saar%27+OR+maker3%3D%27Betye+Saar%27+OR+maker4%3D%27Betye+Saar%27+OR+maker5%3D%27Betye+Saar%27&current_record=1
"wood, cloth, paint, mirror, plastic objects, transparency","CAAM Foundation Purchase, with funds provided by the City of Los Angeles, Cultural Affairs Department",Sambo's Banjo,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CBanjo%2Ejpg,"41"" x 14.5"" x 4.5""",Betye Saar,AF19905.72,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Betye+Saar&whereclause=where+maker%3D%27Betye+Saar%27+OR+cleanmaker%3D%27Betye+Saar%27+OR+maker1%3D%27Betye+Saar%27+OR+maker2%3D%27Betye+Saar%27+OR+maker3%3D%27Betye+Saar%27+OR+maker4%3D%27Betye+Saar%27+OR+maker5%3D%27Betye+Saar%27&current_record=2
"ink and paper, serigraph",Gift of Mr. & Mrs. Nicholas Buzolich; Mr. & Mrs. Buzolich,Summer Garden,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSummer+Garden%2Ejpg,"21.5"" x 29"" x 0.75""",Betye Saar,AF19875.73.1,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Betye+Saar&whereclause=where+maker%3D%27Betye+Saar%27+OR+cleanmaker%3D%27Betye+Saar%27+OR+maker1%3D%27Betye+Saar%27+OR+maker2%3D%27Betye+Saar%27+OR+maker3%3D%27Betye+Saar%27+OR+maker4%3D%27Betye+Saar%27+OR+maker5%3D%27Betye+Saar%27&current_record=3
ink etching,Gift of Mr. & Mrs. Nicholas Buzolich; Mr. & Mrs. Buzolich,The Beastie Parade,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CBeastie+Parade%2Ejpg,"10.75"" x 19.75"" x 1""",Betye Saar,AF19875.73.2,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Betye+Saar&whereclause=where+maker%3D%27Betye+Saar%27+OR+cleanmaker%3D%27Betye+Saar%27+OR+maker1%3D%27Betye+Saar%27+OR+maker2%3D%27Betye+Saar%27+OR+maker3%3D%27Betye+Saar%27+OR+maker4%3D%27Betye+Saar%27+OR+maker5%3D%27Betye+Saar%27&current_record=4
ink etching,Gift of Mr. & Mrs. Nicholas Buzolich,Walking Girl with Bird,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CWalking+Girl%2Ejpg,"12.75"" x 10.75"" x 1""",Betye Saar,AF19875.73.3,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Betye+Saar&whereclause=where+maker%3D%27Betye+Saar%27+OR+cleanmaker%3D%27Betye+Saar%27+OR+maker1%3D%27Betye+Saar%27+OR+maker2%3D%27Betye+Saar%27+OR+maker3%3D%27Betye+Saar%27+OR+maker4%3D%27Betye+Saar%27+OR+maker5%3D%27Betye+Saar%27&current_record=5
"wood, paper, paint, fabric, glass, feathers, fibers, beads, plastic objects","CAAM Foundation Purchase, with funds provided by the City of Los Angeles, Cultural Affairs Department",Nine Mojo Secrets,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CMojo%2Ejpg,"49.75"" x 23.5"" x 1.75""",Betye Saar,AF1989.95,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Betye+Saar&whereclause=where+maker%3D%27Betye+Saar%27+OR+cleanmaker%3D%27Betye+Saar%27+OR+maker1%3D%27Betye+Saar%27+OR+maker2%3D%27Betye+Saar%27+OR+maker3%3D%27Betye+Saar%27+OR+maker4%3D%27Betye+Saar%27+OR+maker5%3D%27Betye+Saar%27&current_record=6
"paper, photograph, brass, butterfly wings",Gift of Dr. and Mrs. Leon O. Banks,For Rosey,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CRosey%2Ejpg,"8½ "" x 7½""",Betye Saar,AF199912.40.2,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Betye+Saar&whereclause=where+maker%3D%27Betye+Saar%27+OR+cleanmaker%3D%27Betye+Saar%27+OR+maker1%3D%27Betye+Saar%27+OR+maker2%3D%27Betye+Saar%27+OR+maker3%3D%27Betye+Saar%27+OR+maker4%3D%27Betye+Saar%27+OR+maker5%3D%27Betye+Saar%27&current_record=7
Serigraph on Fabriano Rosaspina paper,Museum purchase,Magnolia Flower,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSaar%5FMagnoliaFlower%2Ejpg,"14.75"" H x 11"" W",Betye Saar,2001.12.1,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Betye+Saar&whereclause=where+maker%3D%27Betye+Saar%27+OR+cleanmaker%3D%27Betye+Saar%27+OR+maker1%3D%27Betye+Saar%27+OR+maker2%3D%27Betye+Saar%27+OR+maker3%3D%27Betye+Saar%27+OR+maker4%3D%27Betye+Saar%27+OR+maker5%3D%27Betye+Saar%27&current_record=8
Serigraph on Fabriano Rosaspina paper,Museum purchase,Mother Catherine,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSaar%5FMotherCatherine%2Ejpg,"14.75"" H x 11"" W",Betye Saar,2001.12.2,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Betye+Saar&whereclause=where+maker%3D%27Betye+Saar%27+OR+cleanmaker%3D%27Betye+Saar%27+OR+maker1%3D%27Betye+Saar%27+OR+maker2%3D%27Betye+Saar%27+OR+maker3%3D%27Betye+Saar%27+OR+maker4%3D%27Betye+Saar%27+OR+maker5%3D%27Betye+Saar%27&current_record=9
Serigraph on Fabriano Rosaspina paper,Museum purchase,High John De Conqueror,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSaar%5FJohnConqueror%2Ejpg,"14.75"" H x 11"" W",Betye Saar,2001.12.3,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Betye+Saar&whereclause=where+maker%3D%27Betye+Saar%27+OR+cleanmaker%3D%27Betye+Saar%27+OR+maker1%3D%27Betye+Saar%27+OR+maker2%3D%27Betye+Saar%27+OR+maker3%3D%27Betye+Saar%27+OR+maker4%3D%27Betye+Saar%27+OR+maker5%3D%27Betye+Saar%27&current_record=10
Serigraph on Fabriano Rosaspina paper,Museum purchase,The Conscience of the Court,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSaar%5FConscienceCourt%2Ejpg,"14.75"" H x 11"" W",Betye Saar,2001.12.4,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Betye+Saar&whereclause=where+maker%3D%27Betye+Saar%27+OR+cleanmaker%3D%27Betye+Saar%27+OR+maker1%3D%27Betye+Saar%27+OR+maker2%3D%27Betye+Saar%27+OR+maker3%3D%27Betye+Saar%27+OR+maker4%3D%27Betye+Saar%27+OR+maker5%3D%27Betye+Saar%27&current_record=11
Serigraph on Fabriano Rosaspina paper,Museum purchase,Bone of Contention,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSaar%5FBoneContention%2Ejpg,"14.75"" H x 11"" W",Betye Saar,2001.12.5,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Betye+Saar&whereclause=where+maker%3D%27Betye+Saar%27+OR+cleanmaker%3D%27Betye+Saar%27+OR+maker1%3D%27Betye+Saar%27+OR+maker2%3D%27Betye+Saar%27+OR+maker3%3D%27Betye+Saar%27+OR+maker4%3D%27Betye+Saar%27+OR+maker5%3D%27Betye+Saar%27&current_record=12
