Artwork_Title,date,name,nationality,birth_date,death_date,dimensions_inch,medium,credit_line,object_no,description,image_url
Abstraction,1969,Fritz Rauh,American,0,0,sheet: 21 3/8 x 29,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Robert Emory Johnson and Dana Dwyer Johnson",2007.31.2,,http://emuseum.huntington.org/internal/media/dispatcher/27880/resize:format$003dfull
Abstraction,1972,Fritz Rauh,American,0,0,sheet: 22 3/8 x 29 3/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the artist",2007.32.1,,http://emuseum.huntington.org/internal/media/dispatcher/27881/resize:format$003dfull
Abstraction,1975,Fritz Rauh,American,0,0,sheet: 22 1/4 x 29 1/2,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the artist",2007.32.2,,http://emuseum.huntington.org/internal/media/dispatcher/27882/resize:format$003dfull
Abstraction,2006,Fritz Rauh,American,0,0,sheet: 22 3/8 x 30 1/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the artist",2007.32.3,,http://emuseum.huntington.org/internal/media/dispatcher/27883/resize:format$003dfull
Abstraction,2006,Fritz Rauh,American,0,0,sheet: 22 1/4 x 30,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the artist",2007.32.4,,http://emuseum.huntington.org/internal/media/dispatcher/27884/resize:format$003dfull
Acquaduct in Queretaro,0,Christian Jorgensen,American,1860,1935,14 5/16 x 9 5/8,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen",67.65.3,,http://emuseum.huntington.org/internal/media/dispatcher/27909/resize:format$003dfull
Adirondack,0,Hendrik Dirk Kruseman van Elten,Dutch,1829,1904,12 7/8 x 19 1/2,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.79,,http://emuseum.huntington.org/internal/media/dispatcher/20461/resize:format$003dfull
Adlai Stevenson Addresses the United Nations,1955,Don Freeman,American,1908,1978,sheet: 9 1/2 x 7 3/4,ink and litho crayon on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",2012.5.24,,http://emuseum.huntington.org/internal/media/dispatcher/31096/resize:format$003dfull
Agriculture and Industry,0,James MacDonough,American,1820,1903,10 3/8 x 16 5/8,ink wash and graphite en grisaille on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.14,,http://emuseum.huntington.org/internal/media/dispatcher/16254/resize:format$003dfull
"Alamo, San Antonio, Texas",1885,Christian Jorgensen,American,1860,1935,11 3/4 x 14 5/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen",67.65.14,,http://emuseum.huntington.org/internal/media/dispatcher/27920/resize:format$003dfull
Along the Shore,1834,George Loring Brown,American,1814,1889,6 1/8 x 9 1/8,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.31,,http://emuseum.huntington.org/internal/media/dispatcher/18052/resize:format$003dfull
"Alpine Landscape with Woman, June 16, 1904",1904,Joseph Basil Girard,American,1846,1918,5 3/16 x 8 11/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",89.3.53,,http://emuseum.huntington.org/internal/media/dispatcher/20108/resize:format$003dfull
"Amalfi, February 28, 1908",1908,Joseph Basil Girard,American,1846,1918,5 5/8 x 7 1/8,watercolor and graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",89.3.57,,http://emuseum.huntington.org/internal/media/dispatcher/20112/resize:format$003dfull
Amecameca,1885,Christian Jorgensen,American,1860,1935,14 1/4 x 9 1/2,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen",67.65.4,,http://emuseum.huntington.org/internal/media/dispatcher/27910/resize:format$003dfull
America,0,Alfred R. Waud,American,1828,1891,7 1/16 x 5 5/8,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.59,,http://emuseum.huntington.org/internal/media/dispatcher/27983/resize:format$003dfull
America,0,Alfred R. Waud,American,1828,1891,7 x 6 1/8,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.60,,http://emuseum.huntington.org/internal/media/dispatcher/27984/resize:format$003dfull
America,0,Alfred R. Waud,American,1828,1891,7 x 5 11/16,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.61,,http://emuseum.huntington.org/internal/media/dispatcher/27985/resize:format$003dfull
America,0,Alfred R. Waud,American,1828,1891,6 1/8 x 5 3/16,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.62,,http://emuseum.huntington.org/internal/media/dispatcher/27986/resize:format$003dfull
America,0,Alfred R. Waud,American,1828,1891,6 1/2 x 5 11/16,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.63,,http://emuseum.huntington.org/internal/media/dispatcher/27987/resize:format$003dfull
America,0,Alfred R. Waud,American,1828,1891,6 3/4 x 5 1/4,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.64,,http://emuseum.huntington.org/internal/media/dispatcher/27988/resize:format$003dfull
America,0,Alfred R. Waud,American,1828,1891,7 1/4 x 5 5/16,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.65,,http://emuseum.huntington.org/internal/media/dispatcher/27989/resize:format$003dfull
America,0,Alfred R. Waud,American,1828,1891,7 5/8 x 5 3/4,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.66,,http://emuseum.huntington.org/internal/media/dispatcher/27990/resize:format$003dfull
America,0,Alfred R. Waud,American,1828,1891,7 3/16 x 5 5/16,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.67,,http://emuseum.huntington.org/internal/media/dispatcher/27991/resize:format$003dfull
America,0,Alfred R. Waud,American,1828,1891,7 9/16 x 5 9/16,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.68,,http://emuseum.huntington.org/internal/media/dispatcher/27992/resize:format$003dfull
American Eagles,1862,James David Smillie,American,1833,1909,10 7/8 x 8 1/2,gray wash on board,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.74,,http://emuseum.huntington.org/internal/media/dispatcher/18079/resize:format$003dfull
An Aged Corinthian Relates his Experiences,0,Henry Mosler,American,1841,1920,9 x 11 1/4,graphite on gray paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.102,,http://emuseum.huntington.org/internal/media/dispatcher/16261/resize:format$003dfull
Ancestral Remains,1979,Jesse Jay McVicker,American,1911,2004,image: 10 1/8 x 18,graphite on paper,"Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",2012.22.11,,http://emuseum.huntington.org/internal/media/dispatcher/31564/resize:format$003dfull
"Ancient Cedar, with Two Boys",0,Raphael Lamar West,British,1769,1850,13 3/4 x 19 1/4,pen and gray ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.2,,http://emuseum.huntington.org/internal/media/dispatcher/20420/resize:format$003dfull
Animals Conversing,0,B. Baker,American,0,0,15 x 9 3/4,ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift",2005.25.9,,http://emuseum.huntington.org/internal/media/dispatcher/28003/resize:format$003dfull
Anne Hathaway's Cottage,0,Charles Erskine Wood,American,1852,1944,8 3/4 x 11 5/8,pastel and graphite on brown paper,"The Huntington Library, Art Collections, and Botanical Gardens.",85.44.2,,http://emuseum.huntington.org/internal/media/dispatcher/16129/resize:format$003dfull
"Approach to La Crosse, Wis. From Below",0,Edwin Whitefield,American,1816,1892,6 1/8 x 9 1/8,"watercolor, brush, black ink, Chinese white and graphite on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.90,,http://emuseum.huntington.org/internal/media/dispatcher/18091/resize:format$003dfull
"Aqueduct, August 11, 1890",1890,Joseph Basil Girard,American,1846,1918,4 11/16 x 6 3/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",89.3.25,,http://emuseum.huntington.org/internal/media/dispatcher/20080/resize:format$003dfull
Architectural Study,0,Charles Erskine Wood,American,1852,1944,9 7/8 x 13,gouache on gray paper,"The Huntington Library, Art Collections, and Botanical Gardens.",85.44.3,,http://emuseum.huntington.org/internal/media/dispatcher/17967/resize:format$003dfull
Army of the Potomac,0,Larkin Goldsmith Mead,American,1835,1910,7 x 24,graphite and grey wash on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.103.1,,http://emuseum.huntington.org/internal/media/dispatcher/18099/resize:format$003dfull
As the Vocal Teacher,0,Don Freeman,American,1908,1978,sheet: 18 1/4 x 13 1/4,ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",2012.5.23,,http://emuseum.huntington.org/internal/media/dispatcher/31094/resize:format$003dfull
Ash Tree in Surrey,1908,Joseph Basil Girard,American,1846,1918,sheet: 4 13/16 x 7 7/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Bequest of Jane Louise Hemphill",2008.21.6,,http://emuseum.huntington.org/internal/media/dispatcher/28493/resize:format$003dfull
At Sundown,1909,Marion Kavanaugh Wachtel,American,1876,1954,24 x 18,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Anne Crotty",95.12,,http://emuseum.huntington.org/internal/media/dispatcher/27970/resize:format$003dfull
"Avenue of Spruce Firs in Mr. Parson's  Garden, Flushing",1889,Alfred William Parsons,British,1847,1920,15 x 8 1/2,gouache en grisaille on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",90.59,,http://emuseum.huntington.org/internal/media/dispatcher/16246/resize:format$003dfull
Bachelor Girl,1915,John Sloan,American,1871,1951,11 3/4 x 9 7/16,graphite on butcher paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",89.9,,http://emuseum.huntington.org/internal/media/dispatcher/16203/resize:format$003dfull
Back of Rockport,0,Gifford Reynolds Beal,American,1879,1956,13 x 19,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Margery and Maurice Katz",97.31,,http://emuseum.huntington.org/internal/media/dispatcher/27972/resize:format$003dfull
Back Porch-Cucinavaca,1885,Christian Jorgensen,American,1860,1935,7 1/8 x 9 13/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen",67.65.17,,http://emuseum.huntington.org/internal/media/dispatcher/27923/resize:format$003dfull
"Balcony - Hotel, Chinatown, S.F., Calif.",1929,E. A. Burbank,American,1858,1949,7 1/8 x 10 7/8,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray.",87.61.5,,http://emuseum.huntington.org/internal/media/dispatcher/22325/resize:format$003dfull
Bandaged Man on Horse,0,Charles Jay Taylor,American,1855,1929,11 5/8 x 15 5/8,ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift",2005.25.28,,http://emuseum.huntington.org/internal/media/dispatcher/28022/resize:format$003dfull
Barefoot Man Outdoors,1840,John William Casilear,American,1811,1893,,graphite and watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",98.31.23,,http://emuseum.huntington.org/internal/media/dispatcher/18201/resize:format$003dfull
Battle between British E Boat and German Destroyer,1946,Arthur Edwaine Beaumont,American,1890,1978,13 1/2 x 17 1/2,watercolor and graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Geoffrey C. Beaumont",85.90,,http://emuseum.huntington.org/internal/media/dispatcher/17991/resize:format$003dfull
Battle of Bull Run,0,Alfred R. Waud,American,1828,1891,4 1/4 x 13 1/2,graphite and graywash on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.108,,http://emuseum.huntington.org/internal/media/dispatcher/16264/resize:format$003dfull
Beachy Head,1908,Joseph Basil Girard,American,1846,1918,sheet: 4 13/16 x 7 7/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Bequest of Jane Louise Hemphill",2008.21.11,,http://emuseum.huntington.org/internal/media/dispatcher/28503/resize:format$003dfull
Bearded Cardinal with Boon in Hand,1840,John William Casilear,American,1811,1893,,graphite and watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",98.31.5,,http://emuseum.huntington.org/internal/media/dispatcher/18183/resize:format$003dfull
Bearded Man with Staff,1845,John Frederick Kensett,American,1816,1872,,graphite and watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",98.30.11,,http://emuseum.huntington.org/internal/media/dispatcher/18172/resize:format$003dfull
Bearded Monk Carrying Bags,1840,John William Casilear,American,1811,1893,,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",98.31.19,,http://emuseum.huntington.org/internal/media/dispatcher/18197/resize:format$003dfull
"Benicia Arsenal [?], August 12, 1894",1894,Joseph Basil Girard,American,1846,1918,5 x 8 11/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",89.3.38,,http://emuseum.huntington.org/internal/media/dispatcher/20093/resize:format$003dfull
"Benicia Arsenal, California",0,Joseph Basil Girard,American,1846,1918,5 9/16 x 8,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Jane Hemphill",89.3.100,,http://emuseum.huntington.org/internal/media/dispatcher/20155/resize:format$003dfull
"Benicia Arsenal, California Mount Diablo in the Distance",0,Joseph Basil Girard,American,1846,1918,5 5/16 x 7 15/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",89.3.99,,http://emuseum.huntington.org/internal/media/dispatcher/20154/resize:format$003dfull
"Benicia Barracks, August 14, 1894",1894,Joseph Basil Girard,American,1846,1918,5 x 8 11/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",89.3.39,,http://emuseum.huntington.org/internal/media/dispatcher/20094/resize:format$003dfull
"Benicia Barracks, Cal.",0,Joseph Basil Girard,American,1846,1918,4 7/8 x 7 3/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",89.3.98,,http://emuseum.huntington.org/internal/media/dispatcher/20153/resize:format$003dfull
Big Trees - Mariposa Grove,1871,James David Smillie,American,1833,1909,9 x 6 1/4,graphite heightened with Chinese white on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",92.22.4,,http://emuseum.huntington.org/internal/media/dispatcher/28302/resize:format$003dfull
Bird Watchers,1965,Don Freeman,American,1908,1978,10 3/16 x 7 11/16,watercolor and ink,"Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",2012.32.10,,http://emuseum.huntington.org/internal/media/dispatcher/31608/resize:format$003dfull
Black Youth,1938,John Steuart Curry,American,1897,1946,20 x 12,watercolor and graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",99.30,,http://emuseum.huntington.org/internal/media/dispatcher/20493/resize:format$003dfull
Boating Party,0,Joseph Basil Girard,American,1846,1918,5 5/8 x 7 7/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Jane Hemphill",89.3.121,,http://emuseum.huntington.org/internal/media/dispatcher/20176/resize:format$003dfull
Boats Banked on a River,0,John Bunyan Bristol,American,1826,1909,10 5/8 x 14 7/8,graphite and watercolor on buff paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",86.6,,http://emuseum.huntington.org/internal/media/dispatcher/16191/resize:format$003dfull
Book Cliffs at the Utah Desert,0,Samuel Colman,American,1832,1920,13 3/4 x 23 1/2,watercolor and pastel on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Virginia Steele Scott Foundation",83.8.8,,http://emuseum.huntington.org/internal/media/dispatcher/1025/resize:format$003dfull
Boulders,1853,David Johnson,American,1827,1908,10 x 14,graphite and Chinese white on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.30,,http://emuseum.huntington.org/internal/media/dispatcher/18051/resize:format$003dfull
Boxing Match,0,Alexander Zerdin Kruse,American,1890,1972,18 1/4 x 23 3/8,charcoal on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Kruse family trust",97.11.1,,http://emuseum.huntington.org/internal/media/dispatcher/28321/resize:format$003dfull
"Bradford Cove, Grand Mannan",1877,John George Brown,American,1831,1913,11 3/4 x 17 3/4,graphite heightened with white on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",90.32,,http://emuseum.huntington.org/internal/media/dispatcher/18023/resize:format$003dfull
Breakfast Room Table (closed),1902,William H. Bradley,American,1868,1962,5 11/16 x 5 3/8,"graphite, pen, ink and watercolor on paper","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Will Bradley",86.16.8,,http://emuseum.huntington.org/internal/media/dispatcher/16182/resize:format$003dfull
Bridal Veil Falls,1871,James David Smillie,American,1833,1909,9 x 6 1/4,graphite heightened with Chinese white on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",92.22.3,,http://emuseum.huntington.org/internal/media/dispatcher/28301/resize:format$003dfull
Bucking Horse,0,Edward Borein,American,1872,1945,8 1/4 x 11,India ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift",2005.21.8,,http://emuseum.huntington.org/internal/media/dispatcher/26361/resize:format$003dfull
"Buildings at Water's Edge, September 25, 1890",1890,Joseph Basil Girard,American,1846,1918,3 1/2 x 8 1/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",89.3.34,,http://emuseum.huntington.org/internal/media/dispatcher/20089/resize:format$003dfull
"Bullocks Drawing ""Service""",1927,Peter Krasnow,American,1890,1979,7 5/8 x 9,graphite and colored graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",94.4.4,,http://emuseum.huntington.org/internal/media/dispatcher/18151/resize:format$003dfull
Bullocks Drawing I,1927,Peter Krasnow,American,1890,1979,10 1/2 x 14 3/4,graphite and colored graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",94.4.1,,http://emuseum.huntington.org/internal/media/dispatcher/18148/resize:format$003dfull
Bullocks Drawing II,1927,Peter Krasnow,American,1890,1979,10 1/2 x 14 3/4,graphite and colored graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",94.4.2,,http://emuseum.huntington.org/internal/media/dispatcher/18149/resize:format$003dfull
Bullocks Drawing III,1927,Peter Krasnow,American,1890,1979,10 1/4 x 14 3/4,graphite and colored graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",94.4.3,,http://emuseum.huntington.org/internal/media/dispatcher/18150/resize:format$003dfull
Cabinet with Tulip Poplar Panels,1904,Edna Walker,American,0,0,13 7/8 x 9 1/4,"watercolor, graphite and ink on paperboard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation with support from Mark and Jill Willcox",2004.17.2,,http://emuseum.huntington.org/internal/media/dispatcher/25938/resize:format$003dfull
Cairn Terrier,1937,E. A. Burbank,American,1858,1949,14 x 9 1/2,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray.",87.61.16,,http://emuseum.huntington.org/internal/media/dispatcher/22337/resize:format$003dfull
Calligraphic Form,1958,Fritz Rauh,American,0,0,sheet: 19 x 24,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the artist",2007.32.5,,http://emuseum.huntington.org/internal/media/dispatcher/27885/resize:format$003dfull
