artist,title,year,description,image
Jacques Callot,Recruitment of Troops,1633,Etching. Collection UCLA Grunwald Center for the Graphic Arts. Purchased in part with funds provided by the UCLA Art Council.,http://hammer.ucla.edu/image/977/600/450.JPG
Gerhard Marcks,Maja,1941,"Gift of Mr. and Mrs. Jack Warner and the UCLA Art Council, 1970. Franklin D. Murphy Sculpture Garden, Hammer Museum, University of California, Los Angeles. Photo by Joshua White.",http://hammer.ucla.edu/image/1019/600/450.JPG
August Rodin,The Walking Man,1905,"Bronze, H: 83.75. Given by the UCLA Alumni Association and an Anonymous Donor as a tribute to Franklin D. Murphy, 1967. Photo by Joshua White.",http://hammer.ucla.edu/image/1012/600/450.JPG
David Smith,Cubi XX,1964,"Welded stainless steel. H: 111 in. Gift of David E. Bright, 1967. ? Estate of David Smith/Licensed by VAGA, New York, NY. Photo by Joshua White.",http://hammer.ucla.edu/image/1010/600/450.JPG
Jean (Hans) Arp,Fruit hybride dit la Pagode (Hybrid Fruit Called Pagoda),1934,"Bronze, H: 37.25 in. Edition:3/3. Gift of Mrs. David E. Bright, 1967. ? 2000 Artists Rights Society (ARS), New York/VG Bild-Kunst, Bonn Reproduction, including downloading of Arp, Miró and Calder works is prohibited by copyright laws and international conventions without the express written permission of Artists Rights Society (ARS), New York.",http://hammer.ucla.edu/image/1009/600/450.JPG
Vito Acconci,Seedbed,1972,"Photo documentation. Courtesy Gladstone Gallery, New York. ?Vito Acconci.",http://hammer.ucla.edu/image/1022/450/450.JPG
Martha Rosler,"Still from If It's Too Bad To Be True, It Could Be DISINFORMATION",1985,Color video. 16:26 min. Courtesy of the artist.,http://hammer.ucla.edu/image/1026/450/450.JPG
Bill Viola,Still from The Space Between the Teeth,1976,"Videotape, color, and mono sound. Courtesy Bill Viola Studio; photo by Kira Perov.",http://hammer.ucla.edu/image/1024/450/450.JPG
Gordon Matta-Clark,Still from Freshkill,1972,"Color film. 12:56 min. Courtesy the Estate of Gordon Matta-Clark and David Zwirner, New York.",http://hammer.ucla.edu/image/1023/450/450.JPG
William Wegman,Still from Deodorant,1972,Black and white video with sound. 1 min. Courtesy of the artist.,http://hammer.ucla.edu/image/1027/450/450.JPG
Chris Burden,Still from Shoot,1971,"Video with sound. 4 min. Courtesy of the artist and Gagosian Gallery, Beverly Hills.",http://hammer.ucla.edu/image/1021/450/450.JPG
