dim,made,prov,title,nationality,artist,birthDate,deathDate,image_url
14-3/8 x 20-1/8 x 10-5/8 in. (36.5 x 51.1 x 27.0 cm),1969,"Norton Simon Museum, Gift of Mrs. Judith Thomas, 1970","Not Wanting to Say Anything About Marcel,",American,John Cage,1912,1992,http://images.nortonsimon.org/viewer/index.php?id=P.1970.06.4
14-3/8 x 20-1/8 x 10-5/8 in. (36.5 x 51.1 x 27.0 cm),1969,"Norton Simon Museum, Gift of Mrs. Judith Thomas, 1970","Not Wanting to Say Anything About Marcel,",American,John Cage,1912,1992,http://images.nortonsimon.org/viewer/index.php?id=P.1970.06.3
25-1/2 x 36-1/4 in. (64.8 x 92.1 cm),1918,Norton Simon Art Foundation,"Still Life with Musical Instruments,",French,Georges Braque,1882,1963,http://images.nortonsimon.org/viewer/index.php?id=M.1986.2.P
14-1/2 x 47-1/4 in. (36.8 x 120.0cm),1926,Norton Simon Art Foundation,"Pitcher, Score, Fruits and Napkin,",French,Georges Braque,1882,1963,http://images.nortonsimon.org/viewer/index.php?id=M.1977.15.1.P
51-1/8 x 70-7/8 in. (129.9 x 180 cm),1939,Norton Simon Art Foundation,"Artist and Model,",French,Georges Braque,1882,1963,http://images.nortonsimon.org/viewer/index.php?id=M.1976.05.P
17-1/2 in. (44.5 cm),1912,Norton Simon Art Foundation,"Muse (la Muse),",Romanian,Constantin Brancusi,1876,1957,
73 in. (185.4 cm),1931,The Norton Simon Foundation,"Bird in Space,",Romanian,Constantin Brancusi,1876,1957,http://images.nortonsimon.org/viewer/index.php?id=F.1972.08.S
14-3/8 x 20-1/8 x 10-5/8 in. (36.5 x 51.1 x 27.0 cm),1969,"Norton Simon Museum, Gift of Mrs. Judith Thomas, 1970","Not Wanting to Say Anything About Marcel,",American,John Cage,1912,1992,http://images.nortonsimon.org/viewer/index.php?id=P.1970.06.2
14-3/8 x 20-1/8 x 10-5/8 in. (36.5 x 51.1 x 27.0 cm),1969,"Norton Simon Museum, Gift of Mrs. Judith Thomas, 1970","Not Wanting to Say Anything About Marcel,",American,John Cage,1912,1992,http://images.nortonsimon.org/viewer/index.php?id=P.1970.06.1
25-7/8 x 31-7/8 in. (65.7 x 81.0 cm),1878,"Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon","Canoe on the Yerres River,",French,Gustave Caillebotte,1848,1894,http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.238.P
Image: 13-1/4 x 19-5/8 in. (33.7 x 49.8 cm),1969,"Norton Simon Museum, Gift of the Artist","Washington Square,",American,Jerry Burchard,1931,0,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.183
Image: 19-5/8 x 13-1/4 in. (49.8 x 33.7 cm),1969,"Norton Simon Museum, Anonymous Gift","Washington Square,",American,Jerry Burchard,1931,0,http://images.nortonsimon.org/viewer/index.php?id=PH.1970.010
Image: 13-1/8 x 19-5/8 in. (33.3 x 49.8 cm),1969,"Norton Simon Museum, Anonymous Gift","Washington Square,",American,Jerry Burchard,1931,0,http://images.nortonsimon.org/viewer/index.php?id=PH.1970.009
36-1/4 x 46-3/4 in. (92.1 x 118.8 cm),1826,"Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon","Regrets,",French,Claude-Marie Dubufe,1790,1864,http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.170.P
51-1/8 x 38-3/8 in. (129.8 x 97.5 cm),1843,Norton Simon Art Foundation,"Portrait of a Young Woman,",French,Claude-Marie Dubufe,1790,1864,http://images.nortonsimon.org/viewer/index.php?id=M.1977.13.2.P
36-1/4 x 47 in. (92.1 x 119.4 cm),1826,"Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon","Memories,",French,Claude-Marie Dubufe,1790,1864,http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.171.P
27-1/4 x 19 in. (69.2 x 48.3 cm),1967,"Norton Simon Museum, Gift of Mr. John Coplans in homage to Mr. Walter Hopps","Untitled (Hand and Cigar),",French,Marcel Duchamp,1887,1968,
comp: 13-1/2 x 18-3/8 in. (34.3 x 46.7 cm); sheet: 16-3/4 x 23 in. (42.5 x 58.4 cm),1790,"Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon","After Paintings Regrets,",French,Claude-Marie Dubufe,1790,1864,http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.172.G
3 glass panels: 49-1/2 x 7-1/4 in. (125.7 x 18.4 cm); 3 wood sticks: 44-1/4 in. (112.4 cm); wood case: 13 x 52 x 9 in. (33.0 x 132.1 x 22.9 cm),1963,"Norton Simon Museum, Museum Purchase","Three Standard Stoppages (Third Version),",French,Marcel Duchamp,1887,1968,http://images.nortonsimon.org/viewer/index.php?id=P.1963.39
Image: 7-3/4 x 8-7/8 in. (19.7 x 22.5 cm); Paper: 9-3/8 x 10-9/16 in. (23.8 x 26.8 cm),1969,"Norton Simon Museum, Gift of the Artist","Julio,",American,Ed Douglas,1943,0,http://images.nortonsimon.org/viewer/index.php?id=PH.2005.02
21 x 17 in. (53.3 x 43.2 cm),1727,"Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon","Portrait of a Lady with Sprig of Blossom,",French,"Francois, Circle of Drouais",1727,1775,
comp: 4-1/8 x 3-1/4 in. (10.5x 8.3 cm); sheet: 4-3/8 x 3-3/8 in. (11.1 x 8.6 cm),1925,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Woman in Profile,",American,Maynard Dixon,1875,1946,
sheet: 4-3/8 x 4-7/8 in. (11.1 x 12.4 cm); mount: 8 x 10-1/4 in. (20.3 x 26.0 cm),1928,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Three Figures in a Landscape,",American,Maynard Dixon,1875,1946,
comp: 3-3/4 x 3-1/4 in. (9.5 x 8.3 cm); sheet: 4 x 3-3/8 in. (10.2 x 8.6 cm),1925,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Portrait of Galka Scheyer,",American,Maynard Dixon,1875,1946,
3-1/4 x 5 in. (8.3 x 12.7 cm),1925,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Landscape with Billowing Clouds,",American,Maynard Dixon,1875,1946,
12-1/2 x 10-1/2 in. (31.8 x 26.7 cm),1925,"Norton Simon Museum, The Blue Four Galka Scheyer Collection","Landscape with Clouds,",American,Maynard Dixon,1875,1946,
108 x 6-1/4 x 4 in. (274.3 x 15.9 x 10.2 cm),1970,"Norton Simon Museum, Gift of Mr. Irving Blum","Untitled,",American,Guy Girard Dill,1946,0,
8-1/8 x 14 x 47-5/8 in. (20.6 x 35.6 x 121.0 cm),1970,"Norton Simon Museum, Gift of Messrs. Boardman, Carlson, Cunningham, Felsen, Grinstein, Inch, Miller, Terbell and I. Blum","Untitled,",American,Guy Girard Dill,1946,0,
21 x 17 in. (53.3 x 43.2 cm),1727,"Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon","Portrait of a Lady with Pink Choker,",French,"Francois, Circle of Drouais",1727,1775,
Image: 7-5/8 x 8-3/4 in. (19.4 x 22.2 cm),1969,"Norton Simon Museum, Museum Purchase, Men's Committee Fund","Julio,",American,Ed Douglas,1943,0,http://images.nortonsimon.org/viewer/index.php?id=PH.1970.017
25-5/8 x 19-3/4 in. (65.1 x 50.2 cm),1959,"Norton Simon Museum, Gift of Mr. John Coplans in homage to Mr. Walter Hopps","Self-Portrait in Profile,",French,Marcel Duchamp,1887,1968,
25-1/2 x 40-1/4 in. (64.8 x 102.2 cm),1963,"Norton Simon Museum, Museum Purchase","Nine Malic Moulds (Second Version),",French,Marcel Duchamp,1887,1968,http://images.nortonsimon.org/viewer/index.php?id=P.1963.38
comp: 10-1/4 x 7 in. (26.0 x 17.8 cm); sheet: 11-3/4 x 7-7/8 in. (29.8 x 20.0 cm),1964,"Norton Simon Museum, Gift of Virginia Dwan","L.H.O.O.Q. or La Joconde,",French,Marcel Duchamp,1887,1968,http://images.nortonsimon.org/viewer/index.php?id=P.1969.094
overall: 14 x 20-7/8 x 1-3/8 in. (35.6 x 53.0 x 3.5 cm),1959,"Norton Simon Museum, Museum Purchase","Couple of Laundress's Aprons,",French,Marcel Duchamp,1887,1968,
16 x 14-3/4 x 3-1/2 in. (40.6 x 37.5 x 8.9 cm),1941,"Norton Simon Museum, Museum Purchase","Boite-En-Valise (Box in a Suitcase),",French,Marcel Duchamp,1887,1968,
overall: 29-1/4 x 16 in. (74.3 x 40.6 cm),1963,"Norton Simon Museum, Gift of Mr. Irving Blum, in memory of the Artist","Bottle Rack,",French,Marcel Duchamp,1887,1968,http://images.nortonsimon.org/viewer/index.php?id=P.1968.28
11-1/4 x 7-1/8 x 2-1/2 in. (28.6 x 18.1 x 6.4 cm),1959,"Norton Simon Museum, Museum Purchase","Boite Alerte (Mailbox),",French,Marcel Duchamp,1887,1968,
10-3/4 x 13-7/8 in. (27.3 x 35.2 cm),1950,"Norton Simon Museum, Gift of Mr. & Mrs. Paul Kantor","Untitled #3,",American,Richard Diebenkorn,1922,1993,http://images.nortonsimon.org/viewer/index.php?id=P.1965.017.2.04ab
30 x 45 in  (76.2 x 114.3 cm),1948,"Norton Simon Museum, Gift of Mr. & Mrs. Paul Kantor","Untitled #22,",American,Richard Diebenkorn,1922,1993,http://images.nortonsimon.org/viewer/index.php?id=P.1965.017.1
10-3/4 x 13-7/8 in. (27.3 x 35.2 cm),1950,"Norton Simon Museum, Gift of Mr. & Mrs. Paul Kantor","Untitled #1,",American,Richard Diebenkorn,1922,1993,http://images.nortonsimon.org/viewer/index.php?id=P.1965.017.2.05ab
34 x 26 in. (86.4 x 66.0 cm),1960,"Norton Simon Museum, Gift of the Artist","Bottles,",American,Richard Diebenkorn,1922,1993,http://images.nortonsimon.org/viewer/index.php?id=P.1961.27
33-3/4 x 27-1/4 in. (85.7 x 69.2 cm),1850,The Norton Simon Foundation,"Young Woman with a Rose,",French,Achille-Jacques-Jean-Marie Devéria,1800,1857,http://images.nortonsimon.org/viewer/index.php?id=F.1983.08.P
9 x 12-1/2 in. (22.9 x 31.8 cm),1830,Norton Simon Art Foundation,"Odalisque,",French,Achille-Jacques-Jean-Marie Devéria,1800,1857,http://images.nortonsimon.org/viewer/index.php?id=M.1967.06.P
68-3/4 x 57 in. (98.4 x 144.8 cm),1954,"Norton Simon Museum, Gift of Mr. and Mrs. Robert A. Rowan","Berkeley #24,",American,Richard Diebenkorn,1922,1993,http://images.nortonsimon.org/viewer/index.php?id=P.1967.26
19-1/2 x 16-3/8 in. (49.5 x 41.6 cm),0,"The Norton Simon Foundation, Gift of Mr. Norton Simon","Washerwoman,",French,Jean-Baptiste Deshays de Colleville,1729,1765,http://images.nortonsimon.org/viewer/index.php?id=F.1983.07.2.P
19-1/2 x 16-3/8 in. (49.5 x 41.6 cm),0,"The Norton Simon Foundation, Gift of Mr. Norton Simon","Rest of the Shepherds,",French,Jean-Baptiste Deshays de Colleville,1729,1765,http://images.nortonsimon.org/viewer/index.php?id=F.1983.07.1.P
62-3/4 x 66-3/8 in. (159.4 x 168.6 cm),1760,The Norton Simon Foundation,"Jupiter and Semele,",French,Jean-Baptiste Deshays de Colleville,1729,1765,http://images.nortonsimon.org/viewer/index.php?id=F.1970.04.P
43-1/2 x 52 in. (110.5 x 132.1 cm),1893,Norton Simon Art Foundation,"The Entombment,",French,Maurice Denis,1870,1943,
18-3/4 x 25-3/4 in. (47.6 x 65.4 cm),1939,"Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon","Religious Pilgrimage, Brittany,",French,Maurice Denis,1870,1943,
19-3/4 x 25-3/4 in. (50.2 x 65.4 cm),1825,The Norton Simon Foundation,"The Crucifixion,",French,"Eugène, Circle of (possibly Richard Parkes Bonington) Delacroix",1798,1863,http://images.nortonsimon.org/viewer/index.php?id=F.1965.1.006.P
Norton Simon Art Foundation,1834,M.1969.12.2.01.G,"Hamlet: The Queen Attempts to Console Hamlet,",French,Eugène Delacroix,1798,1863,
17-3/4 x 11-7/8 in. (45.1 x 30.2 cm),1874,Norton Simon Art Foundation,"Dancer (Battement in Second Position),",French,Edgar Degas,1834,1917,http://images.nortonsimon.org/viewer/index.php?id=M.1977.05.D
comp: 10-1/8 x 7-1/2 in. (25.7 x 19.1 cm); sheet: 13-3/4 x 10-3/4 in. (34.9 x 27.3 cm),1879,Norton Simon Art Foundation,"Café-Concert Singer,",French,Edgar Degas,1834,1917,http://images.nortonsimon.org/viewer/index.php?id=M.1979.12.G
6-3/8 x 4-5/8 in. (16.2 x 11.7 cm),1877,Norton Simon Art Foundation,"Café-Concert Singer,",French,Edgar Degas,1834,1917,http://images.nortonsimon.org/viewer/index.php?id=M.1978.21.P
13-1/4 x 8-1/4 x 7-9/16 in. (33.7 x 21 x 19.2 cm),1896,Norton Simon Art Foundation,"Bow,",French,Edgar Degas,1834,1917,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.30.S
comp: 11-7/8 x 15-5/8 in. (30.2 x 39.7 cm); sheet: 12-1/8 x 16-1/16 in. (30.8 x 40.8 cm),1890,"Norton Simon Museum, Museum Purchase with funds donated by The B. Gerald Cantor Foundation","Autumn Landscape: L'Esterel,",French,Edgar Degas,1834,1917,http://images.nortonsimon.org/viewer/index.php?id=P.1968.17
5-1/4 x 4-3/8 in. (13.3 x 11.1cm),0,Norton Simon Art Foundation,"Autograph Letter to Durand-Ruel,",French,Edgar Degas,1834,1917,
11-3/16 x 16-7/8 x 8-1/4 in. (28.4x 42.9 x 21.0 cm),1885,Norton Simon Art Foundation,"Arabesque Over the Right Leg, Right Hand Near the Ground, Left Arm Outstretched,",French,Edgar Degas,1834,1917,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.02.S
Image: 8-7/16 x 12 in. (21.4 x 30.5 cm),1968,"Norton Simon Museum, Gift of the Artist","Wall, So. Colorado,",American,Liliane De Cock,1939,0,http://images.nortonsimon.org/viewer/index.php?id=PH.1969.78
Image: 7-3/8 x 12-7/8 in. (18.7 x 32.7 cm),1966,"Norton Simon Museum, Gift of the Artist","Barn and Smokestacks, Moss Landing, California,",American,Liliane De Cock,1939,0,http://images.nortonsimon.org/viewer/index.php?id=PH.1969.77
Sheet: 23-7/8 x 17-1/2 in. (60.64 x 44.45 cm.),1966,"Norton Simon Museum, Anonymous Gift, 1967","Spanish Entrance,",American,Ernest de Soto,1923,0,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.224
11-3/4 x 17-1/2x 3-13/16 in. (29.8 x 44.5 x 9.7 cm),1885,Norton Simon Art Foundation,"Arabesque Over the Right Leg, Left Arm in Line,",French,Edgar Degas,1834,1917,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.03.S
8-1/4 x 10-5/8 x 4-3/8 in. (21.0 x 27 x 11.2 cm),1878,Norton Simon Art Foundation,"Arabesque Over the Right Leg, Left Arm in Front,",French,Edgar Degas,1834,1917,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.01.S
17-7/8 x 18-15/16 x 3-1/4 in. (45.4 x 48.1 x 8.2 cm),1881,Norton Simon Art Foundation,"Apple Pickers,",French,Edgar Degas,1834,1917,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.69.S
Sheet: 15-1/2 x 20 in. (39.37 x 50.8 cm.),1965,"Norton Simon Museum, Anonymous Gift, 1966","Remembrances of Spain,",American,Ernest de Soto,1923,0,http://images.nortonsimon.org/viewer/index.php?id=P.1966.07.159
Sheet: 15 x 11 in. (38.1 x 27.94 cm.); Image: 14 x 10-1/4 in. (35.56 x 26.04 cm.),1966,"Norton Simon Museum, Anonymous Gift, 1967","Justine,",American,Ernest de Soto,1923,0,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.225
26 x 20-3/4 in. (66 x 52.7 cm),1890,The Norton Simon Foundation,"After the Bath,",French,Edgar Degas,1834,1917,http://images.nortonsimon.org/viewer/index.php?id=F.1975.02.P
Sheet: 15 x 11 in. (38.1 x 27.94 cm.),1965,"Norton Simon Museum, Anonymous Gift, 1966","Lamenting Figure,",American,Ernest de Soto,1923,0,http://images.nortonsimon.org/viewer/index.php?id=P.1966.07.160
Sheet: 11 x 15 in. (27.94 x 38.1 cm.); Image: 9-1/2 x 13 in. (24.13 x 33.02 cm.),1966,"Norton Simon Museum, Anonymous Gift, 1967","Juliette,",American,Ernest de Soto,1923,0,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.228
Sheet: 15 x 11 in. (38.1 x 27.94 cm.); Image: 14-1/2 x 10-1/2 in. (36.83 x 26.67 cm.),1966,"Norton Simon Museum, Anonymous Gift, 1967","Juliette,",American,Ernest de Soto,1923,0,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.227
14 x 6-3/8 x 4-1/8 in. (35.6 x 16.2 x 10.5 cm),1882,Norton Simon Art Foundation,"Dancer Adjusting the Shoulder Strap of Her Bodice,",French,Edgar Degas,1834,1917,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.27.S
Sheet: 11 x 15 in. (27.94 x 38.1 cm.); Image: 10 x 14-1/2 in. (25.4 x 36.83 cm.),1966,"Norton Simon Museum, Anonymous Gift, 1967","Juliette,",American,Ernest de Soto,1923,0,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.226
Sheet: 10-3/4 x 14-7/8 in. (27.31 x 37.78 cm.); Image: 10 x 13 in. (25.4 x 33.02 cm.),1966,"Norton Simon Museum, Anonymous Gift, 1967","Espana 3,",American,Ernest de Soto,1923,0,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.223
33-5/8 x 29-3/4 in. (85.4 x 75.6 cm),1879,The Norton Simon Foundation,"Actress in Her Dressing Room,",French,Edgar Degas,1834,1917,http://images.nortonsimon.org/viewer/index.php?id=F.1972.03.P
18 x 6-1/2 x 5 in. (45.7 x 12.7 cm),1880,Norton Simon Art Foundation,"Dancer at Rest, Hands Behind Her Back, Right Leg Forward,",French,Edgar Degas,1834,1917,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.21.S
32-3/8 x 29-3/4 in. (82.2 x 75.6 cm),1884,Norton Simon Art Foundation,"Women Ironing,",French,Edgar Degas,1834,1917,http://images.nortonsimon.org/viewer/index.php?id=M.1971.3.P/M.1979.17.P
19-1/2 x 14-9/16 x 8-1/16 in. (49.5 x 37.1 x 20.3 cm),1900,Norton Simon Art Foundation,"Dancer Looking at the Sole of Her Right Foot,",French,Edgar Degas,1834,1917,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.32.S
11-3/4 x 14-3/4 in. (29.8 x 37.5 cm),1865,Norton Simon Art Foundation,"Study for ""Saltimbanques Resting"",",French,Honoré Daumier,1808,1879,http://images.nortonsimon.org/viewer/index.php?id=M.1985.2.P
Image: 7-9/16 x 9-7/16 in. (19.2 x 24 cm),1966,"Norton Simon Museum, Gift of the Artist","Untitled  (Three Women),",American,Judy Dater,1941,0,http://images.nortonsimon.org/viewer/index.php?id=PH.1969.17
21-1/2 x 25-3/4 in. (54.6 x 65.4 cm),1870,"Norton Simon Art Foundation, Gift of Mr. Norton Simon","Saltimbanques Resting,",French,Honoré Daumier,1808,1879,http://images.nortonsimon.org/viewer/index.php?id=M.1976.06.P
24 x 20 in. (61 x 51 cm),1998,"Norton Simon Museum, Gift of the Artist","Maria Rosario Dominici,",American,Judy Dater,1941,0,http://images.nortonsimon.org/viewer/index.php?id=PH.2010.2.2
24 x 20 in. (61 x 51 cm),2006,"Norton Simon Museum, Gift of the Artist","Looking Back, June Wayne,",American,Judy Dater,1941,0,http://images.nortonsimon.org/viewer/index.php?id=PH.2010.2.3
10 x 8 in. (25.4 x 20.3 cm),1996,"Norton Simon Museum, Gift of the Artist","George Livia,",American,Judy Dater,1941,0,http://images.nortonsimon.org/viewer/index.php?id=PH.2010.2.1
Image: 6-3/4 x 4-3/8 in. (17.1 x 11.1 cm),1967,"Norton Simon Museum, Gift of the Artist","At Napoleon's Tomb, Paris,",American,Judy Dater,1941,0,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.136
Image: 12-3/4 x 11-3/8 in. (32.4 x 28.9 cm),1969,"Norton Simon Museum, Gift of the Artist","The Morannon Gate,",American,Darryl J. Curran,1935,0,http://images.nortonsimon.org/viewer/index.php?id=PH.1969.04
12-1/8 x 20-1/8 in. (30.8 x 51.1 cm),1969,"Norton Simon Museum, Gift of the Artist","Temples,",American,Darryl J. Curran,1935,0,http://images.nortonsimon.org/viewer/index.php?id=PH.1969.05
Image: 12-1/8 x 9-7/8 in. (30.8 x 25.1 cm),1920,"Norton Simon Museum, Gift of the Artist to the Blue Four Galka Scheyer Collection","Rubber Plant,",American,Imogen Cunningham,1883,1976,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.141
Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: 10 x 9 in. (25.4 x 22.86 cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Air Land Sea X: Dam Valley,",American,William Richard Crutchfield,1932,0,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.169
Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: 8-1/4 x 8-1/2 in. (20.96 x 21.59 cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Air Land Sea XI: Skiff Car at Malibu,",American,William Richard Crutchfield,1932,0,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.170
Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: 8-3/4 x 7-1/2 in. (22.23 x 19.05 cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Air Land Sea VIII: Cathedral Steamer,",American,William Richard Crutchfield,1932,0,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.167
Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: 10-1/2 x 4-1/2 in. (26.67 x 11.43 cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Air Land Sea VII: Fuji at Pisa,",American,William Richard Crutchfield,1932,0,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.166
Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: 10 x 4-1/2 (25.4 x 11.43 cm.),1970,"Norton Simon Museum, Anonymous Gift","Air Land Sea VI: Block of Sea,",American,William Richard Crutchfield,1932,0,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.165
Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: 5 x 8-1/4 in. (12.7 x 20.96 cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Air Land Sea V: Biplane,",American,William Richard Crutchfield,1932,0,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.163
18-3/4 x 13-7/16 x 8-1/4 in. (47.6 x 34.1 x 21.0 cm),1900,Norton Simon Art Foundation,"Dancer Looking at the Sole of Her Right Foot,",French,Edgar Degas,1834,1917,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.33.S
Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: 9 x 9-1/4 in. (22.86 x 23.50 cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Air Land Sea IX: Zepp,",American,William Richard Crutchfield,1932,0,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.168
Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: 9 x 9-3/4 in (22.86 x 24.77 cm.),1970,"Norton Simon Museum, Anonymous Gift","Air Land Sea IV: The Great Southeastern,",American,William Richard Crutchfield,1932,0,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.162
Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: 8.75 x 8.75 in. (22.23 x 22.23 cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Air Land Sea III: Formation Flying,",American,William Richard Crutchfield,1932,0,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.161
Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); 8-3/4 x 5 in. (22.23 x 12.7 cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Air Land Sea II: 2-8-4 Flyer,",American,William Richard Crutchfield,1932,0,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.160
Sheet: 12 1/2 x 11 1/2 in.(31.75 x 29.21 cm.); Image: 10 1/2 x 9 1/2 in. (26.67 x 24.13 cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Air Land Sea I: Playground,",American,William Richard Crutchfield,1932,0,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.159
Sheet: 12-1/2 x 11-1/2 in. (31.75 x 29.21 cm.); Image: (24.77 x 20.32 cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Air Land Sea Alphabet,",American,William Richard Crutchfield,1932,0,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.164
Image: 9-3/8 x 7-3/8 in. (23.8 x 18.7 cm),1920,"Norton Simon Museum, Gift of the Artist to the Blue Four Galka Scheyer Collection","Plant Form,",American,Imogen Cunningham,1883,1976,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.147
Image: 9-3/8 x 7-1/2 in. (23.8 x 19.1 cm),1925,"Norton Simon Museum, Gift of the Artist to the Blue Four Galka Scheyer Collection","Magnolia Bud,",American,Imogen Cunningham,1883,1976,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.148
Image: 8 x 7-5/8 in. (20.3 x 19.4 cm),1970,"Norton Simon Museum, Gift of the Artist","Warning,",American,Imogen Cunningham,1883,1976,
