origin,credit_line,birth_year,death_year,nationality,Label_on_page,dates,name,title,technique,image_url,dimension
"Made in United States, North and Central America","Gift of Philip and Muriel Berman, 2004",1779,1843,American,,1811,Washington Allston,"Adoration of the Magi, after Titian",Oil on canvas,http://www.philamuseum.org/images/cad/large/2004-8-1front-rec.jpg,"Framed: 35 1/4 x 43 1/4 x 3 1/2 inches (89.5 x 109.9 x 8.9 cm)
Canvas: 28 1/2 x 36 inches (72.4 x 91.4 cm)"
"Made in United States, North and Central America","Purchased with the John Howard McFadden, Jr., Fund, 1956",1836,1910,American,"Homer's painting cleverly refers to the rising American temperance movement, a crusade against drinking alcohol, by depicting a stout milkmaid pausing while a farmhand drinks from her ladle. Swaying under the weight of her pail and squinting into the sun, she presents the ideal of natural womanhood. Her powerful presence, marked by broad shoulders, muscular arms, and sunburned skin, counters the farmhand's relaxed stance and shaded face, visually reversing traditional gender roles. Far from flirting, the two figures awkwardly avoid each other's gaze, modeling rural wholesomeness and rectitude.",1874,Winslow Homer,A Temperance Meeting,Oil on canvas,http://www.philamuseum.org/images/cad/large/1956-118-1-CX.jpg,20 3/8 x 30 1/8 inches (51.8 x 76.5 cm)
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Purchased with the J. Stogdell Stokes Fund, the Edith H. Bell Fund, and the Katharine Levin Farrell Fund, 1990",1743,1812,American,"Henry Benbridge's scene, which derives from the Greek epic tradition on the Trojan War, is one of the most baroque compositions painted in the Delaware Valley during the eighteenth century. The painting is a copy, in reverse, of a tapestry design by Peter Paul Rubens (Flemish, 1577-1640). In the painting, Achilles has been disguised as a woman and hidden among the daughters of King Lycomedes at the behest of his mother, who knows that he is fated to die if he goes to Troy. Achilles betrays himself by showing too much interest in a helmet and becomes one of Greece's great warriors.",1758,Henry Benbridge,Achilles among the Daughters of Lycomedes,Oil on canvas,http://www.philamuseum.org/images/cad/large/1990-88-1.jpg,26 1/4 x 42 1/4 inches (66.7 x 107.3 cm)
"Made in United States, North and Central America","The William L. Elkins Collection, 1924",1836,1910,American,"Renowned artist Winslow Homer was an avid sportsman and his outdoor subjects reflect an unsentimental view of the conflict between man and nature. In this scene set in the Adirondack region of New York State, earthen colors link the hunter and the environment, making it difficult to distinguish the man from the hill behind him. Homer visited the Adirondacks as one of many vacationers who flocked there in the late nineteenth century. The huntsman in Homers painting is not a visitor but rather a local trapper or guide who has caught a deer and is carrying off its pelt, antlers, and, likely, a pack full of meat.",1891,Winslow Homer,A Huntsman and Dogs,Oil on canvas,http://www.philamuseum.org/images/cad/large/E1924-3-8-CX.jpg,"28 1/8 x 48 inches (71.4 x 121.9 cm)
Framed: 37 x 57 inches (94 x 144.8 cm)"
"Made in United States, North and Central America","125th Anniversary Acquisition. Gift of the McNeil Americana Collection, 2004",1823,1880,American,,1863,Sanford Gifford,A Coming Storm,Oil on canvas,http://www.philamuseum.org/images/cad/large/2004-115-1-pma.jpg,28 x 42 inches (71.1 x 106.7 cm)
"Made in United States, North and Central America","Gift of Christian Brinton, 1941",1888,1946,American,"Philadelphia art critic Christian Brinton---who donated his extensive collection of modern paintings, sculptures, graphic arts, costumes, and textiles to the Philadelphia Museum of Art in 1941---was a major advocate of Philadelphia-area artists. Impressed by Horace Pippin's contributions to the annual open exhibition at the West Chester Art Association in 1937, Brinton organized a solo exhibition of Pippin's work, which propelled the artist from relative obscurity to national fame. Shortly thereafter, Pippin painted this portrait, an example of his distinctive ability to combine the navet of self-taught art with modern painting techniques.",1940,Horace Pippin,A Chester County Art Critic (Portrait of Christian Brinton),Oil on canvas,http://www.philamuseum.org/images/cad/large/1941-79-139.jpg,21 1/2 x 15 7/8 inches (54.6 x 40.3 cm)
"Made in Toledo, Ohio, United States, North and Central America","Gift of Libbey Glass Company, 1982",1905,1998,American,,1949,Designed by Freda Diamond,"""Classic Crystal"" Glasses",Glass,http://www.philamuseum.org/images/cad/large/1982-151-1--5.jpg,"Jigger [1982-151-1] height: 2 1/4 inches (5.7 cm)
Old-Fashioned [1982-151-2] height: 3 3/8 inches (8.6 cm)
Collins [1982-151-3] height: 4 3/4 inches (12.1 cm)
Iced Tea [1982-151-4] height: 5 1/4 inches (13.3 cm)
Cooler [1982-151-5] height: 6 inches (15.2 cm)"
"Made in United States, North and Central America","Gift of Mr. and Mrs. Arthur U. Crosby, 1974",1824,1906,American,,1879,Eastman Johnson,Cranberry Pickers,Oil on cardboard,http://www.philamuseum.org/images/cad/large/1974-229-1.jpg,13 15/16 x 17 1/2inches (35.4 x 44.4cm)
"Made in United States, North and Central America","Gift of Alice Newton Osborn, 1959",1871,1951,American,,1905,John Sloan,Turning Out the Light,Etching,http://www.philamuseum.org/images/cad/large/1959-35-59crop.jpg,"Plate: 5 x 7 inches (12.7 x 17.8 cm)
Sheet: 11 7/8 x 15 1/4 inches (30.2 x 38.7 cm)"
"Made in United States, North and Central America","Purchased with the Edith H. Bell Fund and the J. Stogdell Stokes Fund, 1987",1779,1843,American,"The figures in this meticulously executed scene respond with a variety of emotions to a plan by Petruchio to subdue his argumentative new wife. Proclaiming that her new dress is not good enough, he threatens the tailor. Katharina's atypical composure suggests Petruchio's success in ""taming"" her temper. Best known for biblical history pictures, romantic portraits, and landscapes, Allston was also a poet and novelist. His interest in Shakespeare undoubtedly was stimulated by his close friendship with Shakespearean scholar Samuel Taylor Coleridge. Not long before this picture was painted, the two men had toured Italy, where Allston learned to emulate the lustrous glazes and jewel-like colors of Venetian painting.",1809,Washington Allston,"Scene from Shakespeare's ""The Taming of the Shrew"" (Katharina and Petruchio)",Oil on canvas,http://www.philamuseum.org/images/cad/large/1987-8-1.jpg,27 3/4 x 30 7/8 inches (70.5 x 78.4 cm)
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Anonymous gift in memory of Elizabeth Wheatley Bendiner, 1991",1743,1812,American,,1779,Attributed to Henry Benbridge,Mrs. Cadwalader Morris (Ann Strettell),"Watercolor on ivory, gold frame",http://www.philamuseum.org/images/cad/large/1991-76-2-ov.jpg,1 1/4 x 1 1/8 inches (3.2 x 2.9 cm)
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Anonymous gift in memory of Elizabeth Wheatley Bendiner, 1991",1743,1812,American,,1779,Attributed to Henry Benbridge,Cadwalader Morris (1741 - 1795),"Watercolor on ivory, gold frame",http://www.philamuseum.org/images/cad/large/1991-76-4-ov.jpg,1 5/8 x 1 1/4 inches (4.1 x 3.2 cm)
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of Miss Fannie Ringgold Carter, 1949",1743,1812,American,"Enoch Edwards (17511802) was a Philadelphian who trained as a physician and served as a surgeon in the Continental Army (the colonial army formed during the American Revolutionary War). This group portrait commemorates his marriage to the half-sister of Henry Benbridge, who painted the scene. Benbridge depicts himself, along with Dr. Edwardss sister, on the couples left, clothing the bride in a luxurious form of imaginary dress employed by many eighteenth-century artists. Benbridge had traveled to Rome and London to study but returned to his native Philadelphia in 1770. A composition of this type, portraying an informal gathering of family or friends, is called a conversation piece.",1779,Henry Benbridge,Portrait of the Enoch Edwards Family,Oil on canvas,http://www.philamuseum.org/images/cad/large/1949-53-1-ov.jpg,30 x 23 11/16 inches (76.2 x 60.2 cm)
"Made in United States, North and Central America","Gift of Dr. and Mrs. Matthew T. Moore, 1984",1888,1946,American,"Horace Pippin began to paint in earnest in the 1930s, combining the navet of the self-taught artist with an awareness of modern painting styles. World War I, in which he sustained a crippling arm wound, provided a frequent subject for his work, as did childhood memories and religious subjects. Human rights and social issues also often figure in his pictures, but",1943,Horace Pippin,Mr. Prejudice,Oil on canvas,http://www.philamuseum.org/images/cad/large/1984-108-1-CX.jpg,18 1/8 x 14 1/8 inches (46 x 35.9 cm)
"Made in United States, North and Central America","The George W. Elkins Collection, 1924",1836,1910,American,"The dramatic rescue from a foundering ship shown here was made possible by a recent innovation in lifesaving technology, the breeches buoy. Secured firmly to ship and shore, the device permitted the transfer of stranded passengers to safety by means of a pulley that was hauled back and forth by crews at either end. Cropped down to its essentials, Homer's composition thrusts us into the midst of the action with massive waves rolling past, drenching the semiconscious woman and her anonymous savior.",1884,Winslow Homer,The Life Line,Oil on canvas,http://www.philamuseum.org/images/cad/large/E1924-4-15v1-pma.jpg,28 5/8 x 44 3/4 inches (72.7 x 113.7 cm)
"Made in Cuba, North and Central America","Gift of Dr. and Mrs. George Woodward, 1939",1836,1910,American,,1885,Winslow Homer,"Street Scene, Santiago de Cuba, 1885",Transparent and opaque watercolor and graphite with scraping on heavy wove paper,http://www.philamuseum.org/images/cad/large/1939-7-15-pma.jpg,Sheet: 12 x 17 11/16 inches (30.5 x 44.9 cm)
"Made in United States, North and Central America","Gift of Dr. and Mrs. George Woodward, 1939",1836,1910,American,,1886,Winslow Homer,Red-Winged Blackbirds,Transparent and opaque watercolor over traces of graphite with scraping on heavy wove paper,http://www.philamuseum.org/images/cad/large/1939-7-19.jpg,Sheet: 20 x 13 15/16 inches (50.8 x 35.4 cm)
"Made in Maine, United States, North and Central America","Gift of Dr. and Mrs. George Woodward, 1939",1836,1910,American,A tiny ship on the horizon is dwarfed by the breakers beating the shoreline near Homers studio in Maine.,1894,Winslow Homer,Prout's Neck Surf 1894,Transparent and opaque watercolor over traces of graphite with scraping on heavy wove paper,http://www.philamuseum.org/images/cad/large/1939-7-6-pma.jpg,Sheet: 14 x 21 7/16 inches (35.6 x 54.5 cm)
"Published in New York City, New York, United States, North and Central America","Purchased with the American Art Revolving Fund, 2011",1836,1910,American,"Transatlantic travel looks like fun in Homers recollection of his own trip to France in 186667. Stylish passengers stroll the deck, read, doze, uncork bottles, and inspect the marine life via telescope, seemingly unfazed by the steep tilt of their vulnerable, wooden world. Employed as an illustrator of topics from modern life, Homer had a sharp eye for fashion, leisure activity, and pretty girls. He envisions a bachelors paradise, where attractive young women abound and flirtatious winds expose a well-turned ankle.",1867,After Winslow Homer,Homeward-Bound,Wood engraving,http://www.philamuseum.org/images/cad/large/2011-177-1-pma.jpg,"Image: 13 9/16 x 20 3/8 inches (34.4 x 51.8 cm)
Sheet: 15 x 21 7/16 inches (38.1 x 54.5 cm)"
"Made in United States, North and Central America","125th Anniversary Acquisition. Gift of Ann R. Stokes, 2002",1836,1910,American,,1891,Winslow Homer,Building a Smudge,Watercolor over traces of graphite on watercolor paper,http://www.philamuseum.org/images/cad/large/2002-10-1.jpg,Sheet: 13 1/2 x 20 5/8 inches (34.3 x 52.4 cm)
"Made in Cuba, North and Central America","or Spain, Europe",0,0,CubanorSpanish.LabelHonoreLaine,,1876,Artist/maker unknown,Fan,Printed paper; wooden sticks and guards,http://www.philamuseum.org/images/cad/large/1997-132-24side1-dept.jpg,Length: 8 3/4 inches (22.2 cm)
"Made in Cuba, North and Central America","Gift of Mrs. Henry W. Breyer, 1957",0,0,Havana,,0,La Industrial Albaniquera,Fan,Hand-painted lace with gold appliqué and sequins; gold filigree loop,http://www.philamuseum.org/images/cad/large/1957-79-21open-dept.jpg,14 x 15 inches (35.6 x 38.1 cm)
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of Eliza Amanda Tucker in memory of Mary Earp Tucker, 1931",1835,1837,Philadelphia,,1837,Made by American Porcelain Company (formerly Tucker Factory),Toilet Bottle with Stopper,Porcelain with enamel and gilt decoration,"http://www.philamuseum.org/images/cad/large/1931-55-2aa,ba-ov.jpg",7 x 3 7/8 inches (17.8 x 9.9 cm)
"Made in Jersey City, New Jersey, United States, North and Central America","Gift of Jay A. and Emma Lewis, 2008",0,0,JerseyCity,"American Rockingham wares were popular in the Unites States from the mid-nineteenth through the early twentieth centuries. The term ""Rockingham"" derives from an English factory on the estate of the Marquess of Rockingham that produced ceramic objects from 1745 until 1842. The factory became known for its mottled manganese-brown glazes and for its relief-molded decorations, often in the revived Rococo style (characterized by the use of leaf and flower motifs, curves and sinuous lines, and organic forms). When pottery manufacturers in the eastern United States and Ohio began to produce wares with similar glazes and designs in the early nineteenth century, the objects became known as ""American Rockingham.""",1840,Manufacture attributed to American Pottery Manufacturing Company,Pitcher,Glazed earthenware (American Rockingham ware),http://www.philamuseum.org/images/cad/large/2008-25-18-ov.jpg,10 7/16 x 8 11/16 x 8 1/16 inches (26.5 x 22.1 x 20.5 cm)
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of Eliza Amanda Tucker in memory of Mary Earp Tucker, 1931",1835,1837,Philadelphia,,1837,Made by American Porcelain Company (formerly Tucker Factory),Toilet Bottle with Stopper,Porcelain with enamel and gilt decoration,"http://www.philamuseum.org/images/cad/large/1931-55-2a,b-ov.jpg",7 x 3 7/8 inches (17.8 x 9.9 cm)
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of Mrs. William M. Elkins in memory of her husband, 1947",1835,1837,Philadelphia,,1835,Made by American Porcelain Company (formerly Tucker Factory),Pitcher,Porcelain with enamel and gilt decoration,http://www.philamuseum.org/images/cad/large/1947-51-1v1-ov.jpg,9 7/8 x 12 5/8 x 3 inches (25.1 x 32.1 x 7.6 cm)
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of John T. Morris, 1915",1835,1837,Philadelphia,"In 1835 the Pennsylvania Assembly voted to incorporate the Tucker and Hemphill Factory as the American Porcelain Company. Thomas Tucker continued to manage the new concern, which produced the same porcelain wares as before, with few stylistic changes, until its closing in 1837.",1835,Possibly made by American Porcelain Company (formerly Tucker Factory),Pitcher,Porcelain with enamel and gilt decoration,http://www.philamuseum.org/images/cad/large/1915-119-ov.jpg,11 5/8 x 8 9/16 inches (29.5 x 21.7 cm)
"Made in Zanesville, Ohio, United States, North and Central America","Gift of Jay A. and Emma Lewis, 2008",0,0,Zanesville,,0,American Encaustic Tiling Company,Tile with Bust of Abraham Lincoln,Earthenware,"http://www.philamuseum.org/images/cad/large/2008-25-69a,b-pma.jpg",Height: 7 5/8 inches (19.4 cm)
"Made in New York City, New York, United States, North and Central America","Gift of Mr. and Mrs. I. Wistar Morris III, 1988",1836,1880,NewYork,,1860,Albert Coles & Co.,Candelabrum,Silver,http://www.philamuseum.org/images/cad/large/1988-89-4a--c-ov.jpg,"22 1/4 x 15 x 5 7/8 inches (56.5 x 38.1 x 14.9 cm)
Weight: 33 ounces 8 dwt"
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1962,Edna Andrade,Trees,Brush and black ink with ink wash on cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-8-pma.jpg,Sheet: 16 5/8 x 10 5/8 inches (42.2 x 27 cm)
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1972,Edna Andrade,Study for Torsion 1,Graphite on thin cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-14-pma.jpg,Sheet: 9 1/4 x 10 1/2 inches (23.5 x 26.7 cm)
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1972,Edna Andrade,Study for Night Sea (possibly),Graphite on heavy cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-15-pma.jpg,Sheet: 19 3/4 x 11 3/4 inches (50.2 x 29.8 cm)
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1979,Edna Andrade,"Study for ""Grid, 1980""",Graphite and colored pencil on graph paper,http://www.philamuseum.org/images/cad/large/2008-100-22-pma.jpg,Sheet: 11 x 9 5/8 inches (27.9 x 24.4 cm)
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1964,Edna Andrade,Study,Black and red fiber-tipped pen on yellow tracing paper,http://www.philamuseum.org/images/cad/large/2008-100-12-pma.jpg,Sheet: 12 x 14 inches (30.5 x 35.6 cm)
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1976,Edna Andrade,Grid Drawing,Colored pencil on graph paper,http://www.philamuseum.org/images/cad/large/2008-100-19-pma.jpg,Sheet: 11 x 8 1/2 inches (27.9 x 21.6 cm)
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1976,Edna Andrade,Grid Drawing,Graphite and colored pencil on graph paper,http://www.philamuseum.org/images/cad/large/2008-100-18-pma.jpg,Sheet: 11 x 9 7/8 inches (27.9 x 25.1 cm)
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1962,Edna Andrade,Forest,Brush and black ink with ink wash on cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-9-pma.jpg,Sheet: 11 x 17 inches (27.9 x 43.2 cm)
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1982,Edna Andrade,Flip Flop,Graphite and colored pencil on cream wove paper (diptych),http://www.philamuseum.org/images/cad/large/2008-100-23a-pma.jpg,"Sheet (left panel): 12 7/8 x 9 inches (32.7 x 22.9 cm)
Sheet (right panel): 13 3/4 x 9 inches (34.9 x 22.9 cm)"
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1979,Edna Andrade,Finale Drawing,Graphite and colored pencil on graph paper,http://www.philamuseum.org/images/cad/large/2008-100-20-pma.jpg,Sheet: 11 x 10 inches (27.9 x 25.4 cm)
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1963,Edna Andrade,Figure Moving,Pen and black ink on thin beige wove paper,http://www.philamuseum.org/images/cad/large/2008-100-11-pma.jpg,Sheet: 13 x 17 inches (33 x 43.2 cm)
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1961,Edna Andrade,Figure and Bird Line Drawing III,Pen and black ink on cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-6-pma.jpg,Sheet: 14 x 17 inches (35.6 x 43.2 cm)
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1948,Edna Andrade,Disappearing Man and Conch Shell,Opaque watercolor on beige wove paper,http://www.philamuseum.org/images/cad/large/2008-100-3-pma.jpg,Sheet: 8 1/8 x 9 3/4 inches (20.6 x 24.8 cm)
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1970,Edna Andrade,Decagon,White opaque watercolor or ink on tan card with silver foil facing paper,http://www.philamuseum.org/images/cad/large/2008-100-13-pma.jpg,Sheet: 9 x 9 inches (22.9 x 22.9 cm)
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1979,Edna Andrade,"Color Grid Diptych (Related to ""Grid,"" 1980)",Graphite and colored pencil on cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-21-pma.jpg,Sheet: 8 9/16 x 11 inches (21.7 x 27.9 cm)
"Printed in Albuquerque, New Mexico, United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,,1971,Edna Andrade,Black Cisoide,Lithograph,http://www.philamuseum.org/images/cad/large/2010-63-3-pma.jpg,Image and sheet: 24 x 30 1/8 inches (61 x 76.5 cm)
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1941,Edna Andrade,Bailey Island Shore,Graphite on tan wove paper,http://www.philamuseum.org/images/cad/large/2008-100-1-pma.jpg,Sheet: 9 x 11 1/2 inches (22.9 x 29.2 cm)
"Made in United States, North and Central America","Bequest of Greta Carter Mohoney, 1961",0,0,American,,0,Artist/maker unknown,Amethyst Earrings,"Silver, amethyst, gold wash","http://www.philamuseum.org/images/cad/large/1961-79-2b,c-ov.jpg",Length: 1 3/4 inches (4.4 cm)
"Made in United States, North and Central America","Bequest of Greta Carter Mohoney, 1961",0,0,American,,0,Artist/maker unknown,Amethyst Brooch,"Silver, amethyst, gold wash",http://www.philamuseum.org/images/cad/large/1961-79-2d-dept.jpg,2 × 1 9/16 inches (5.1 × 4 cm)
"Made in United States, North and Central America","Gift of Mrs. Henry W. Breyer, Jr., 1964",0,0,American,,1943,Artist/maker unknown,"""Searchlight"" Brooch","Gold, moonstone, semi-precious stones",http://www.philamuseum.org/images/cad/large/1964-6-3-pma.jpg,1 1/4 x 2 x 3/4 inches (3.2 x 5.1 x 1.9 cm)
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1982,Edna Andrade,Stripe Study,Graphite and colored pencil on cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-24-pma.jpg,Sheet: 13 11/16 x 9 1/8 inches (34.8 x 23.2 cm)
"Photograph taken in New Mexico, United States, North and Central America",© Estate of Paul Strand,1890,1976,American,,1932,Paul Strand,"Adobe Facade, New Mexico",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2009-160-719-pdp.jpg,"Image: 4 5/8 x 5 7/8 inches (11.8 x 15 cm)
Sheet: 9 15/16 x 7 15/16 inches (25.2 x 20.2 cm)"
"Photograph taken in New Mexico, United States, North and Central America",© Estate of Paul Strand,1890,1976,American,,1932,Paul Strand,"Adobe Facade, New Mexico",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2009-160-718-pdp.jpg,"Image: 4 5/8 x 5 7/8 inches (11.8 x 15 cm)
Sheet: 9 15/16 x 7 15/16 inches (25.2 x 20.2 cm)"
